text,sentiment_before,sentiment_after
"Satu2nya toko hp yang pemiliknya baik hati, tidak suka misuh2",negative,negative
"Udah beberapa kali beli disini, tempatnya bersih & nyaman. Service excellence pokoknya",neutral,positive
Toko oke pelayanan dan ramah dalam menjelaskan spek hp,positive,positive
Assesoriesnya lengkap,negative,negative
"Produk lengkap, pelayanan ramah dan hrg oke",positive,positive
The best Handphone Shop in Malang Highly recommended,negative,neutral
Lengkap mantap,positive,positive
bagus,negative,negative
"Toko handphone terlengkap , parkir nya luas di tengah kota malang",neutral,negative
"Pelayanannya Baik terhadap Custamer , Ramah Tamah.",positive,positive
Pelayanan super ramah dan Excellent service Dapat welconedrink dan camilan untuk menemani aku yang lagi Pindah data hehe,negative,negative
"HP nya keren keren, garansi mutu terjamin, servis nya baik sekali",positive,positive
Koko yg punya baik dan ceriah orangnya.beli hp dikasih gratis voucer karaoke. Tq 3 putra,positive,positive
"Pusat Gadget terlengkap , pelayanan ramah , letak di tengah kota , parkir luas",positive,positive
"Sangat ramah,harga bersahabat",positive,positive
"ga nyangka saya ada toko hape selengkap ini, pelayanannya juga sigap dan cekatan, senang membeli hape incaran saya disini",negative,negative
"Sudah langganan di sini sejak 15 tahun lalu, service ok, harga ok, lengkap juga, mantap",positive,positive
pelayanannya ramah dan harga jerjangkau dan tempatnya nyaman,positive,positive
Terkece drama kolosal Rama dan Sinta by tim tiga putra,negative,positive
Selamat ualang tahun TAM semoga tambah sukses,positive,positive
"Seru banget acaranya buat ngisi malming.. ,",positive,positive
Ramah ramah bgt orang nya dan pertunjukan nya bgs bgt,positive,positive
Acara Sendratari TAM Vaganza Tiga Putra Malang keren bangetttt ✨✨,negative,negative
"Pelayanannya ramah, mantap",positive,positive
pelayanan sangat baik,positive,positive
Pelayanan sangat baik dan ramahharga terjangkau include garansi toko terbaik,positive,positive
Gak masuk akal,negative,negative
"memuaskan, terimakasih",positive,positive
Layanan cepat dan ramah dengan harga bersaing jika membutuhkan handphone..,positive,positive
pelayanan mantapp abiss pokok e,positive,positive
Pelayanan sangat cepat dan memuaskan....ruangan sangat bagus dan nyaman....,positive,positive
Tadi sore sudah kesana beli HP pelayanan baik dan Rama terimahkasih,positive,positive
Pelayanan baik,positive,positive
Pelayan memuaskan,positive,positive
"Pelayanan sangat baik,mas2 dan mbak2 nya ramah.Pilihan hp nya jg banyak.",positive,positive
Pelayanan baik dan solutif,positive,positive
Pelayanan Ramah & Memuaskan,positive,positive
Good job,positive,positive
Baik,positive,positive
seruuuuu,neutral,neutral
mantap,positive,positive
Excellent for service,neutral,neutral
Makasih mb Gayatri sudah melayani dng baik dan ramah,positive,positive
Good service,positive,positive
Baik pelayanan&pramuniaganya,positive,positive
Keren. Pelayanan bagus banget. Cepet dan ramah,positive,positive
"Pelayanan Baik dan ramah, barang pastinya bagus, jangan ragu untuk beli di tiga putra, Top",positive,positive
Pelayanan terbaik,positive,positive
"Customer servicenya baik, welcome sekali dari pertama masuk.. Terimakasih atas pelayanannya yg sangat baik",neutral,neutral
Pelayanan nya ramah,positive,positive
"Pelayanan disini baik, pegawai nya juga ramah"", tempat nya nyaman",positive,positive
Pelayanan baik dan dibantu pindah data,positive,positive
"bagus pelayanannya oke, dan harga worth ITS sih, terimakasih tiga putra",positive,positive
Pelayanan baik dan ramah,positive,positive
Bagus dan memuaskan Pelayanan baik sekali,positive,positive
Pelayanan memuaskan,positive,positive
Tempatnya bagus pelayanannya lumayan bagus.,negative,negative
Pegawainya ramah dan tempatnya bersih,positive,positive
Mantap,positive,positive
Pelayanannya bagus.mbknya sangat membantu dan rekom,negative,negative
Pelayanan baik ramah kualitasnya terbaik,positive,positive
Best service bgt lah pokoknya!! Helpful,negative,positive
Karyawan nya sangat ramah dan Pelayanannya sangat memuaskan Terima kasih mbak dwi,positive,positive
pelayanan nya sangat baik dan ramah,positive,positive
Tempatnya gede pelayanan baik,positive,positive
"Pelayanan ramah dan cepat,suasana nyaman",positive,positive
"Baru pertama beli disini di bantu mas tama, pelayanan oke dan di bantu sampai tuntas. Terimakasih",positive,positive
"Tempat nyaman, pelayanan baik",positive,positive
Pelayanan ramah dan cepat Bisa direkomendasikan lagi,positive,positive
Makasi Mas Arifan dilayani dengan baik,positive,positive
Terbaaaeekkkkkkkkk humbleeeeee,neutral,neutral
"Tempatnya nyaman, pelayanan baik dan ramah",positive,positive
"Puas belanja di sini, pelayanan ramah dan edukatif",positive,positive
Bagus,negative,negative
Pelayanan untuk customer bagus,positive,positive
"Pelayanan ny ramah, mbak nya baik banget memberikan penjelasan dan melayani dengan baik.. kalau untuk harga tergolong normal pada umum nya..",positive,positive
Murah meriah dan nyaman dilayani,positive,positive
Tiga putra pelayanan terbaik,positive,positive
"Nyaman,pegawai rama",positive,positive
"Pelayanannya memuaskan sangat"" membantu",negative,negative
Pelayanan oke harga bersaing,positive,positive
pelayanannya sangat baik,neutral,neutral
"Tiga Putra Kawi emang oke banget,,,mau beli HP apa aja ada,,apalagi karyawannya ramah2 dan baik2,,terutama Mbak Ria,,sangat membantu dalam menjelaskan produk HP serta ramah dan sopan..terimakasih Tiga Putra Kawi",positive,positive
Promotornya ramah dan menjelaskan produk dg sangat baik,positive,positive
Cepat pelayanan nya nyaman tempat nya,positive,positive
Pelayanan sangat baik dang rama,positive,positive
"Pelayanan ramah, baik, terpercaya",positive,positive
Terima kasih.. Mbaknya yg layani ramah banget...,positive,positive
Rekomen!,neutral,neutral
Tempatnya bagus. Karyawannya ramah. Saya datang langsung disambut dan dilayani full,negative,negative
"Pelayanan bagus, Banyak pilihan untuk produk gadget nya, Tempat juga nyaman bagi pengunjung. Parkir luas",positive,positive
Pelayanan mantap dibantu pindah data semua.. mantaps,positive,positive
Memuaskan dibantu pindah data sampe selesai,negative,negative
"Pelayanan nya terbaik, ramah ramah. Mengerti kebutuhan pelanggan, dan menguasai penjelasan spesifikasi produk yang dijual. Terimakasih",positive,positive
Penjelasan yg lengkap dan mantap .,positive,negative
Pelayannya baik sabar,positive,positive
pelayanan ramah sangat cepat dan menarik,positive,positive
Pelayanan cepat dan ramah,positive,positive
Pelayanan baik Penjelasan akan produk baik Pelayanan cepat,positive,positive
"Pelayanannya bagus, mas mas nya jelasinnya juga baik",neutral,positive
Pelayanan ramah harga terjangkau,positive,positive
Tokonya bagus. p elayanan ramah dan back.,neutral,neutral
Pelayanan ramah barang lengkap,positive,positive
Seller ramah dan komunikatif. Pembayaran juga mudah,positive,positive
"Pelayanan cakep sih, recomended untuk yang ga hanya beli hp, tp kenyamanan service",positive,positive
Proses mudah dan cepat,positive,positive
Mantap pelayanan nya jos gandos,positive,positive
"Pelayanan bagus, ramah, puas",positive,positive
"Baguss sekalii sangat ramah dan detail dalam menjelaskan, terima kasih",positive,positive
"Pelayanan bagus, banyak promo, tempat bagus...",negative,positive
Mantap pelayanannya puas,positive,positive
"pelayanan sangat baik, ramah dan tempatnya sangat nyaman. sangat direkomendasikan untuk beli di tiga putra kawi",positive,positive
Keren bagus cepat,negative,negative
pelayanannya sangat ramah sekalii,neutral,positive
"Pelayanan ramah, harga murah, barang berkualitas.",positive,positive
"Puas banget sama pelayan disini di bantu mba dwii, baik dn ramah",positive,positive
terima kasih sudah di antar ke rumah saya,positive,positive
pelayanan baik dan ramah,positive,positive
Pelayanan ramah Suka sekali&langanan beli HP di sini,positive,positive
"Sudah langganan sama mas achmad, pelayanan bagus dan ramah. Saran beli hp ke mas achmad",positive,positive
"buruk , tidak profesional staffnya",negative,negative
"pelayanan kurang memuaskan, update info aksesoris terlalu terbelit belit, tidak transparant saat sebelum pembelian, padahal saya belinya juga cash ga cicil, minimal kalau memang barang/aksesoris kosong, ngomong di awal, jangan setengah2 hanya ingin capai target, udah 3 bulan saya tunggu gaada kejelasan, disini saya beli huawei matepad se",negative,negative
Pelayanan ok,positive,positive
Pelayanan dan tempat sangat baik,neutral,positive
pelayanannya baik,positive,positive
pelayanan sangat bagus dan baikk,negative,positive
Sangat bagus pelayanan dan service nya semoga di pertahankan kayak gini ya,positive,positive
over all Pelayanan yg sangat bagus dan ramah,positive,positive
Sudah langganan dan selalu puas untuk pelayanannya,positive,positive
"pelayanannya bagus,ramah,baik",positive,positive
Pelayanannya bagus..masnya ramah,neutral,neutral
pelayana ramah proses cepat,positive,positive
"Pelayanan bagus, mas nya ramah di kasih konsumsi juga",positive,positive
"lain kali kalo nyales jangan terlalu maksa ya mas, td waktu beli dia nyaranin nambah hydrogel dan katanya ga ada yg jual hydrogel dimanapun selain disitu dan itu ngotot bgt astaga (agak mau marah, soalnya di tempatku kerja jg ada hydrogel buat tab wkwk) mana harga nya mahal bener 150 rebu. setelah liat ulasan banyak yg complain perkara hydrogel, bersyukur sih gajadi pasang wkwkw",negative,negative
Pelayanannya ramah dan harganya murah,positive,positive
Mantab pelayanan nya,positive,positive
Good service and very helpfull,positive,positive
top cer lur pelayanan manteb,positive,positive
"Bagus, terkaya, karyawan nya ramah",positive,positive
Mantab sekali pelayanan nya,positive,positive
pelayanann nyaa toppp bangettt dapet kopi sama free air putihh sepuasnya kata mbak nya,positive,positive
Memuaskan,neutral,neutral
Best service Good quality pròduct,positive,positive
beli kartu pelayanan oke di bantu sampai bisa,positive,positive
Recomend !!!,neutral,neutral
Pelayanannya ok,positive,positive
Tempatnya nyaman dan Pelayanan pasti ramah,positive,positive
Tempatnya nyaman. Pelayanannya sangat baik. Orang ramah terima kasih kak Dhika,positive,positive
"Pelayanan memuaskan, sabar, dan rinci menjelaskan. Terima kasih Mas Yusril",positive,positive
Termksih mbak sangat baik,neutral,neutral
Pelayanan ramahh dapet Snack dan voucerrr yeyyy kakak' nya cantik',positive,positive
"Pelayanan ramah, gercep , mantap pols",positive,positive
Toko Nyaman Barang lengkap Dan pelayanannya memuaskan di layani sama Mbk Riris,positive,positive
Memberikan pelayanan solutif dan ramah,positive,positive
Pelayanannya ramah,positive,positive
"Pelayanan oke, satset",positive,positive
"Pelayanan sangat baik, tidak lambat, cepat",negative,negative
Pelayanan ramah dan membantu menjelaskan terkait produk.,positive,positive
Trimakasih mbak gayatri mas agung...siip,positive,positive
Pelayanan OK,positive,positive
Makasih mas Rossi buat pelayanannya,positive,positive
Ternyata pelayanan pakai shoope bisa dan mudah,positive,positive
pelayanan ramah,positive,positive
"Pelayanan sangat ramah, cepat dan baik",positive,positive
Terima kasih sudah dilayani dengan baik,positive,positive
"Ramah pelayanannya, edukatif, dan nyaman tempatnya",positive,positive
Tempat nyaman,positive,positive
beli vivo X200 dibantu mas tama vivo sangat memakai dijelaskan detail spec nya,positive,positive
"Pelayanan bagus banget, koleksi lengkap, banyak pilihan.",positive,positive
Pelayananya ok dan ramah,positive,positive
"Parkir luas, tempat nyaman,semua brand ada,pegawai nya ramah semua",positive,positive
"Belanja nyaman, tempat nyaman, parkiran gratis. Sudah langganan sama mas achmad",positive,positive
"Pelayanan baik, masnya ramah, komunikatif . Dijelaskan detail produknya",positive,positive
Dibantu sama mbak Ria yang ramah dan product knowledge yg bagus. Makasih mbak,positive,positive
Pelayanan sangat bagus,negative,negative
Langganan cui..,positive,positive
"staf e ramah, dikasih opsi banyak unit",neutral,positive
Senang dengan pelayanannya ramah ramah dan bagus.,positive,positive
Pelayanannya cepat ramah dan baik,positive,positive
Bagus dan murah,negative,positive
Mantap banget pelayanan rama,positive,positive
TOPPPP,neutral,positive
Pelayanannya oke... Tempat luas Enaknya lgi free parkir,positive,positive
pelayanan ramah dan cepat,positive,positive
Pelayanan bagus,positive,positive
"Keren banget, pelayanan sangat cepat, dan Mbaknya Ramah buanget. Dikasih garansi juga. TOP pokoknya✨️",positive,positive
Harga murah pelayanan super ramah,positive,positive
"Terima kasih mas rossi , pelayanannya sangat ramah dan bisa milihkan hp sesuai kebutuhan dan budget saya, semoga sehat selalu mas rossi",positive,positive
Pelayanan sangar ramah dan baik,positive,positive
puas dengan pelayanannya,positive,positive
Pelayanan baik dan cepat,positive,positive
"Sangat membantu, banyak pilihan, harga terjangkau",positive,positive
helpfull bgt dan sabar,positive,positive
karyawannya ramah sekali,positive,positive
"tempat nyaman , pelayanan ramah sales mbak avia top",positive,positive
Terbaik,positive,positive
"selalu memberikan pelayanan terbaik, apa lagi mas realme",positive,positive
"pelayanan baguss , pegawainya ramah bgtt , untuk tempatnya nyaman",positive,positive
"Pertama beli di tiga putra pelayanan ramah , mas nya baik d arahkan mana hp yg terbaik atau tidak tidak mengecewakan",negative,negative
"Excellent service, great items….so satisfied belanja disini, makasih mas Galang for the guidance",positive,positive
Tempatnya luas nyaman Free parkir Pelayan ramah,positive,positive
"Pelayanan ramah, sales nya cantik (avia)",positive,positive
Terima kasih bisa milihkan hp mas rossi,positive,positive
"Pelayanan bagus, dijelasin sampai detail dibantu sampe ngerti , trims Mas Galang dan Mbak Elisa, pokoknya memuaskan belanja di disini, dapet Snack n drink lagi, jempol 5 deh",positive,positive
Baik ramah pelayanan nyaman bangeeett,positive,positive
Ramah & besar tmptnya,positive,positive
Pelayanan Memuaskan Harga Kompetitif,positive,positive
"Pelayanannya baguss, ramah, sudah beberapa kali beli hp disini. Dan semuaa staff nya ramah.. Sukaa poll",positive,positive
Pelayannya memuaskan,neutral,neutral
"Baik, cepat dilayani",positive,positive
Servis memuaskan,positive,positive
Sangat lengkap harga mulai 1.2jt juga ada,positive,positive
Terimakasih,positive,positive
Sangat puas dengan pelayanan masnya,positive,positive
Pelayanannya ok Cepat ramah,positive,positive
"Tempat nyaman , Pelayanan ok dikasih snack dan minum",positive,positive
Rekomen untuk beli gadget dll...pelayanan ramah dan harga terbaik,positive,positive
Alhamdulillah pelayanan ramah,positive,positive
Terima kasih mas tama vivo atas pelayanan nya,positive,positive
Toko hp rekomend lengkap dan terpercaya pelayanan bwaikkk,positive,positive
Seneng stok hp lengkap dan pelayanan mbaknya baik dan ramah,positive,positive
"Pelayanan baik, dari awal hingga akhir Produk lengkap",positive,positive
Terimakasih semoga spd nya semoga awet..Terimakasih kak aini,positive,positive
Terima kasih tiga putra..harganya murah dari counter² lain..terbaik memang tiga putra,positive,positive
Stok nya lengkap kredit gampang gak ribet,negative,negative
"Pelayanannya enak, sebelum beli dijelasin juga enak juga, pembayaran cepet nggak ribet, dibantu sama Mas Rosi juga dari depan pintu smpe langsung diarahin ke barang yg saya mau, di test detail juga Mantap",positive,positive
mantapp gaiss,neutral,positive
pelayanannya ramah...,positive,positive
Terima kasih mas tema vivo sudah beli vivo v50lte,positive,positive
"baik, pelayanan ramah. barang Ok.",positive,positive
Pelayanan ramah bgt.. Pokoknya keren,positive,positive
Harga murah pelayanan nyaman.....homy deh,positive,positive
"Tempatnya bagus,bersih dan pelayanannya bagus ,, yang lebih oke itu promonya banyak",negative,negative
Pelayanannya bagus dan ramah,neutral,positive
Pelayanannya sangat baik,neutral,neutral
"pelayanannya bagus, pegawainya juga ramah²",negative,neutral
mantap pelayanan,positive,positive
"pelayanan ramah dapet snack gratis dan pegawainya welcome""",positive,positive
Pelayanan ramah dan sangat membantu.. Udah dua kali beli di sini cocok dan puas.. Terimakasih..,positive,positive
Thanks ka Dika sdh bantu pilih hp dan cek semuanya...dpt tws. Smg next ada lebih byk bonus yaa,negative,positive
Pelayanan ramah dan memuaska,positive,positive
proatanan cepat memuaskan,neutral,neutral
Store Handphone yang terpercaya di malang,negative,negative
Pelayanan terbaik sukses selalu,positive,positive
Toko hp deket dari rmh . Not badlah lengkap .,negative,negative
"Sangat enak tempat dan suasana belanja , sales tidak mengarahkan ke 1 brand tapi objektif jadi menyerahkan keputusan kepada costumer, dan kebetulan saya dilayani dengan mas tama sangat ramah terimakasih.",positive,positive
Store nya nyaman dan utk mas salesnya ramah dan banyak membantu semua kesulitan kami..perfect,negative,positive
Pelayanan oke.,positive,positive
Pelayan sangat ramah dan membantu sekali.,positive,positive
Terimakasih atas pelayanan mas rosi selaku staf tiga putra kawi. Sudah dibantu dalam pengecekan pembelian hp baru untuk anak saya.,positive,positive
Okeee pelayanannya,neutral,positive
"Helpful, promo menarik",positive,positive
Pelayanannya baik di bantu dengan kak RIA tiga putra,positive,positive
@dhika Pelayanannya ramahh,neutral,positive
Stok lengkap harga murah,neutral,negative
"terimakasih mbk citra, mbak nya baik",positive,positive
"Aksesoris lumayan lengkap, tempat luas dan free parkir",positive,positive
"Pembelian unit dengan mas rossi... Pelayanan yang diberikan sangat baik, penyampaian sangat komunikatif dan juga informatif.... Dengan begitu beliau bisa merekomendasikan unit yang sesuai kebutuhan dengan baik.",negative,negative
pelayanan ramah cepat dan sigapp,positive,positive
toko terlengkap di kota malang dan pelayanan ramah-ramah,positive,negative
Pelayanan ok....harga lumayan bs dapet disc dari Shopee... Tks,positive,positive
harga murah pelayanan masnya baik,positive,positive
Sabar hadapi customer,positive,positive
Pelayan yg baik...tempat luas Free parkir,positive,positive
Terimakasih mas tama Vivo sudah di bantu untuk Infinix nya,positive,positive
"Bagus, terpercaya, original, pelayanan dari karyawannya ramah",neutral,positive
"Dengan mas @rossi ramah,gercep sabar ... terimakasih",positive,positive
"Pelayanan sip mantab , Dengan mas firman.",positive,positive
Pelayan karyawan sangat baik karna sdh di bantu Trima kasih banyak,positive,positive
"Stock lengkap, pelayanan bagus",neutral,positive
Di bantu oleh mas Adit sudah langganan sejak 2019,positive,positive
Sip rekomendasi banget!!,positive,positive
"Pelayanan baguss , pegawainya ramahhh bgtt , untuk tempatnyaa nyamann",positive,positive
"pelayanan terbaik, semua ramah",positive,positive
pelayanan di tokoh ini sangat ramah,positive,positive
Lebih banyak promonya,positive,positive
Tempatnya nyaman pelayanannya baik,positive,positive
Pelayanannya ramah dan cepat. Harga kompetitif. Barang selalu diperiksa kondisinya. Tempatnya juga nyaman.,positive,positive
pelayanan mantap,positive,positive
Pelayanan ramah dan cepat ...,positive,positive
pelayanannya bagus ramah dan cepat,neutral,positive
"Pelayanan bagus serta tempatnya nyaman , karyawan juga ramah",positive,positive
Pelayanan sangat bagus Harga karena bulan kemarin beli Dikasih discout,negative,negative
terimakasih mas tama vivo sudah dengan ramah melayani saya membeli hp ☺️,positive,positive
Pelayanan bagus ramah,positive,positive
"Cari hp apa aja ada & harganya terjangkau, terima kasih buat mas Adit yg selalu setia mengantarkan orderan saya",negative,negative
Terimakasih sangat membantu pelayanan bagus,positive,positive
Pelayan kak Avia sangat bagussss. Terima kasihhh ya kak sukses trus,positive,positive
Pelayanan ramah dan sangat membantu sekali,positive,positive
Pelayanan baik udah sering ke sini di layanin sama mas ali,positive,positive
"Tempatnya nyaman dan lengkap dr hp sampe asesorisnya, dilayani mas hengki yg ramah dan sat set.",positive,positive
"Beli hp di toko tiga putra ini pelayanannya baik, trs harga juga sesuai dan ada potongannya dan masih dapat gift juga. Menurutku ini sangat untung sih saya sebagai customer",positive,positive
"Terima kasih atas pelayanan hari ini, niat hati cuman ke grapari karena ngajak si kecil skalian cari hp dan di layani sama mas rossi , alhamdulillah pelayanan cukup ramah dan sangat membantu memilihkan hp",neutral,negative
Pelayanan cepat mas nya grecep,positive,positive
"Selalu langganan beli disini , Dibantu semua setting dan pindah data .. best",negative,negative
"Original resmi, garansi terpercaya ga ribet, top!",positive,positive
"Satisfied with the service they offer, the staff members are helpful in explaining the products and even helped us find the right product that suits our needs. Mas Adit gave us an outstanding service and we are happy with our experience here. Thank you!",positive,positive
Pelayanan josss dan dapet snack gratisss pegawainya ramah-ramah,positive,positive
Alhamdulillah beli hp dilayani mas Sulthan dgn ramah ..semoga sll sukses .Aamiin,positive,positive
Harga kompetitif dan pelayanan Mas-nya baik. Terima kasih,positive,positive
Petugasnya ramah dan penjelasannya sangat baik dan mudah dimengerti,positive,positive
Layanan super cepat dan kak dhika juga ramah,positive,positive
"Pelayanan nyaman, tempat bagus",positive,positive
Tempat nyaman pelayanan ramah banget,positive,positive
"Pelayanan sangat ramah ,, staff jg membantu sekali dng telaten ,, Nice service ,, harga terjangkau",positive,positive
"Barusan beli watch xiomi di tiga putra, di layani sama mbak mbak baik, menjelaskan fitur-fitur dengan sangat jelas ke saya. Terimakasih ya mbak dan tiga putra",positive,positive
Pelayanan yang bagus,negative,negative
Harga murah dan terjangkau..mbak mbaknya juga ramah tamah..,positive,positive
Sdh 3x beli di sini pelayanan selalu memuaskan,positive,negative
Pelayanan baik. Mantapp/ poll,positive,positive
So far so good,positive,positive
Pelayanan nyaa bagus tempat bersih dan nyaman pegawai nyaa ramah,positive,positive
"Type typenya lengkap banget, dan kalau beli samsung promonya banyak banget",negative,positive
pelayann ramah dan baik,positive,positive
Pelayanan baik dan ramahh,positive,positive
Good service Pegawainya sangat komunikatif Overall good,positive,positive
pelayanan bagusss dan ramahh,positive,positive
"Pelayanan sangat ramah, penjelasan mudah dipahami",positive,positive
"Beli Oppo harga paling murah muter muter, Pelayanan e joss ramah, semua di jelaskan secara detail, terimakasih mas",positive,positive
"Pelayanan ramah,, puas dan csnya juga sabar dan telaten terima kasih tiga putra kawi malang ☺️",positive,positive
best store phone in malang,negative,neutral
"Dari dulu langganan di tiga putra pelayanan sll oke dpt Snack , bisa pindah data gratis , sukses sll tigaputra .langganan ibu ku dr dlu",positive,positive
"Pasang screen guard, ada 2 screen guard 100 rb or gimana gt ya waktu itu. Lamaaaaa banget, trnyt orang baru. Oke lah ya, aku kira ngapain kok lama banget pasang gt aja, lebih dr 30 menit meskipun ya mungkin karena orang baru. Terus trnyt 1 itu ada yg kotor, jd balik lg ke tempat minta dibenerin. Nunggu luaaammaaaaa lg selama2 nya, ktnya org nya istirahat. Lah, ganti aja masak harus nunggu org tadi balik. Kita ini juga punya perlu masak seharian harus tetap di sana sih. Ditelpon2 in orangnya ga balik, diliat2 berapa kali hape itu, masak ga ada bapak ibu manager gt yg di tempat. Pegawai apa ga lapor ke mereka gt? Akirnya setelah telpon 5x ke trainee td, dia minta tolong staf lain, yg udah berpengalaman. Itu pun masih nunggu lamaa gatau apa maunya. Udah ganti berapa org yg ngeliat kondisi screen guard nya ya. Dan akirnya yaowoh diganti baru, setelah lama banget padahal rencana itu mau ke mall sebelah tapi ga bisa gara2 nungguin staf di toko hape ini ya. Tau ga berapa menit itu mas ganti screen guard. Ga sampe 5 menit. 5 menit lah plg lama. Bayangkan lah. Apa dikira kita ini kengangguran punya waktu banyak buat nunggu. Sebenarnya ga mau aku post ini juga. Tapi 2 bulan screen guard itu uda bentol2. Melepuh. Gimana ini ya. Bagus an screen guard bawaan hape nya ya. Terus bagian pinggir geser2 sendiri gt. Kualitas apa ini screen guard nya",negative,negative
