date,rating,sentiment,text
15/09/2025,5,neutral,Pelayanan sangat baik
15/09/2025,5,positive,Pelayanan ramah dan sangat puas sekali
15/09/2025,5,positive,Terbaik pokok nya trims
15/09/2025,5,negative,Pelayanannya bagus semua..
15/09/2025,5,negative,"Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi."
14/09/2025,1,negative,pelayanan sgt lma
14/09/2025,5,neutral,Pelayanan ramah mas bintang nya
14/09/2025,5,negative,stok lengkap ramah
14/09/2025,5,positive,"Mbak dan mas nya sangat membantu sekali,mas uki sama mbak febri"
14/09/2025,5,positive,Sangat memuaskan pelayanannya
14/09/2025,5,neutral,Pelayanannya cepat dan staff ramah
13/09/2025,5,negative,toko hp termurah dan terlengkap di kota malang
13/09/2025,5,positive,"Pelayanan ramah, produk terlengkap, tempatnya nyaman. Pokoknya the best"
13/09/2025,5,neutral,"Pelayanan ramah, sigap dan paling penting barang dijamin ori"
13/09/2025,5,positive,"Satu2nya toko hp yang pemiliknya baik hati, tidak suka misuh2"
13/09/2025,5,neutral,"Udah beberapa kali beli disini, tempatnya bersih & nyaman. Service excellence pokoknya"
13/09/2025,5,positive,Toko oke pelayanan dan ramah dalam menjelaskan spek hp
13/09/2025,5,neutral,Assesoriesnya lengkap
13/09/2025,5,positive,"Produk lengkap, pelayanan ramah dan hrg oke"
13/09/2025,5,neutral,The best Handphone Shop in Malang Highly recommended
13/09/2025,5,positive,Lengkap mantap
13/09/2025,5,positive,"Toko handphone terlengkap , parkir nya luas di tengah kota malang"
13/09/2025,5,neutral,"Pelayanannya Baik terhadap Custamer , Ramah Tamah."
13/09/2025,5,negative,Pelayanan super ramah dan Excellent service Dapat welconedrink dan camilan untuk menemani aku yang lagi Pindah data hehe
13/09/2025,5,neutral,"HP nya keren keren, garansi mutu terjamin, servis nya baik sekali"
13/09/2025,5,positive,Koko yg punya baik dan ceriah orangnya.beli hp dikasih gratis voucer karaoke. Tq 3 putra
13/09/2025,5,positive,"Pusat Gadget terlengkap , pelayanan ramah , letak di tengah kota , parkir luas"
13/09/2025,5,positive,"Sangat ramah,harga bersahabat"
13/09/2025,5,neutral,"ga nyangka saya ada toko hape selengkap ini, pelayanannya juga sigap dan cekatan, senang membeli hape incaran saya disini"
13/09/2025,5,positive,"Sudah langganan di sini sejak 15 tahun lalu, service ok, harga ok, lengkap juga, mantap"
07/09/2025,5,positive,pelayanannya ramah dan harga jerjangkau dan tempatnya nyaman
06/09/2025,5,negative,Terkece drama kolosal Rama dan Sinta by tim tiga putra
06/09/2025,5,positive,Selamat ualang tahun TAM semoga tambah sukses
06/09/2025,5,positive,"Seru banget acaranya buat ngisi malming.. ,"
06/09/2025,5,positive,Ramah ramah bgt orang nya dan pertunjukan nya bgs bgt
06/09/2025,5,positive,Acara Sendratari TAM Vaganza Tiga Putra Malang keren bangetttt ✨✨
06/09/2025,5,positive,"Pelayanannya ramah, mantap"
05/09/2025,5,neutral,pelayanan sangat baik
04/09/2025,5,neutral,Pelayanan sangat baik dan ramahharga terjangkau include garansi toko terbaik
04/09/2025,1,negative,Gak masuk akal
30/08/2025,5,positive,"memuaskan, terimakasih"
30/08/2025,5,neutral,Layanan cepat dan ramah dengan harga bersaing jika membutuhkan handphone..
30/08/2025,5,positive,pelayanan mantapp abiss pokok e
29/08/2025,5,positive,Pelayanan sangat cepat dan memuaskan....ruangan sangat bagus dan nyaman....
27/08/2025,5,positive,Tadi sore sudah kesana beli HP pelayanan baik dan Rama terimahkasih
27/08/2025,4,neutral,Pelayanan baik
27/08/2025,5,positive,Pelayan memuaskan
25/08/2025,5,negative,"Pelayanan sangat baik,mas2 dan mbak2 nya ramah.Pilihan hp nya jg banyak."
24/08/2025,5,neutral,Pelayanan baik dan solutif
24/08/2025,5,positive,Pelayanan Ramah & Memuaskan
24/08/2025,5,positive,Good job
24/08/2025,5,neutral,Baik
24/08/2025,5,neutral,seruuuuu
24/08/2025,5,positive,mantap
23/08/2025,5,neutral,Excellent for service
23/08/2025,5,positive,Makasih mb Gayatri sudah melayani dng baik dan ramah
23/08/2025,5,positive,Good service
21/08/2025,5,neutral,Baik pelayanan&pramuniaganya
20/08/2025,5,positive,Keren. Pelayanan bagus banget. Cepet dan ramah
19/08/2025,5,neutral,"Pelayanan Baik dan ramah, barang pastinya bagus, jangan ragu untuk beli di tiga putra, Top"
19/08/2025,5,neutral,Pelayanan terbaik
19/08/2025,5,neutral,"Customer servicenya baik, welcome sekali dari pertama masuk.. Terimakasih atas pelayanannya yg sangat baik"
19/08/2025,5,neutral,Pelayanan nya ramah
19/08/2025,5,positive,"Pelayanan disini baik, pegawai nya juga ramah"", tempat nya nyaman"
18/08/2025,5,negative,Pelayanan baik dan dibantu pindah data
18/08/2025,5,positive,"bagus pelayanannya oke, dan harga worth ITS sih, terimakasih tiga putra"
17/08/2025,5,neutral,Pelayanan baik dan ramah
17/08/2025,5,positive,Bagus dan memuaskan Pelayanan baik sekali
16/08/2025,5,positive,Pelayanan memuaskan
16/08/2025,5,negative,Tempatnya bagus pelayanannya lumayan bagus.
16/08/2025,5,neutral,Pegawainya ramah dan tempatnya bersih
16/08/2025,5,positive,Mantap
16/08/2025,5,neutral,Pelayanannya bagus.mbknya sangat membantu dan rekom
14/08/2025,5,positive,Pelayanan baik ramah kualitasnya terbaik
13/08/2025,5,positive,Best service bgt lah pokoknya!! Helpful
13/08/2025,5,positive,Karyawan nya sangat ramah dan Pelayanannya sangat memuaskan Terima kasih mbak dwi
12/08/2025,5,neutral,pelayanan nya sangat baik dan ramah
12/08/2025,5,negative,Tempatnya gede pelayanan baik
12/08/2025,5,positive,"Pelayanan ramah dan cepat,suasana nyaman"
12/08/2025,5,positive,"Baru pertama beli disini di bantu mas tama, pelayanan oke dan di bantu sampai tuntas. Terimakasih"
11/08/2025,5,neutral,"Tempat nyaman, pelayanan baik"
10/08/2025,5,neutral,Pelayanan ramah dan cepat Bisa direkomendasikan lagi
10/08/2025,5,positive,Makasi Mas Arifan dilayani dengan baik
10/08/2025,5,neutral,Terbaaaeekkkkkkkkk humbleeeeee
09/08/2025,5,neutral,"Tempatnya nyaman, pelayanan baik dan ramah"
09/08/2025,5,positive,"Puas belanja di sini, pelayanan ramah dan edukatif"
08/08/2025,5,neutral,Pelayanan untuk customer bagus
08/08/2025,5,positive,"Pelayanan ny ramah, mbak nya baik banget memberikan penjelasan dan melayani dengan baik.. kalau untuk harga tergolong normal pada umum nya.."
08/08/2025,5,positive,Murah meriah dan nyaman dilayani
07/08/2025,5,neutral,Tiga putra pelayanan terbaik
07/08/2025,5,positive,"Nyaman,pegawai rama"
07/08/2025,5,positive,"Pelayanannya memuaskan sangat"" membantu"
06/08/2025,5,positive,Pelayanan oke harga bersaing
05/08/2025,5,neutral,pelayanannya sangat baik
05/08/2025,5,positive,"Tiga Putra Kawi emang oke banget,,,mau beli HP apa aja ada,,apalagi karyawannya ramah2 dan baik2,,terutama Mbak Ria,,sangat membantu dalam menjelaskan produk HP serta ramah dan sopan..terimakasih Tiga Putra Kawi"
05/08/2025,5,positive,Promotornya ramah dan menjelaskan produk dg sangat baik
05/08/2025,5,neutral,Cepat pelayanan nya nyaman tempat nya
05/08/2025,5,positive,Pelayanan sangat baik dang rama
05/08/2025,4,positive,"Pelayanan ramah, baik, terpercaya"
05/08/2025,5,positive,Terima kasih.. Mbaknya yg layani ramah banget...
05/08/2025,5,neutral,Rekomen!
04/08/2025,5,neutral,Tempatnya bagus. Karyawannya ramah. Saya datang langsung disambut dan dilayani full
04/08/2025,5,positive,"Pelayanan bagus, Banyak pilihan untuk produk gadget nya, Tempat juga nyaman bagi pengunjung. Parkir luas"
04/08/2025,5,negative,Pelayanan mantap dibantu pindah data semua.. mantaps
04/08/2025,5,neutral,Memuaskan dibantu pindah data sampe selesai
04/08/2025,5,positive,"Pelayanan nya terbaik, ramah ramah. Mengerti kebutuhan pelanggan, dan menguasai penjelasan spesifikasi produk yang dijual. Terimakasih"
03/08/2025,5,positive,Penjelasan yg lengkap dan mantap .
03/08/2025,5,positive,Pelayannya baik sabar
03/08/2025,5,positive,pelayanan ramah sangat cepat dan menarik
03/08/2025,5,neutral,Pelayanan cepat dan ramah
03/08/2025,5,positive,Pelayanan baik Penjelasan akan produk baik Pelayanan cepat
03/08/2025,5,neutral,"Pelayanannya bagus, mas mas nya jelasinnya juga baik"
03/08/2025,5,positive,Pelayanan ramah harga terjangkau
03/08/2025,5,neutral,Tokonya bagus. p elayanan ramah dan back.
03/08/2025,5,neutral,Pelayanan ramah barang lengkap
03/08/2025,5,neutral,Seller ramah dan komunikatif. Pembayaran juga mudah
03/08/2025,5,positive,"Pelayanan cakep sih, recomended untuk yang ga hanya beli hp, tp kenyamanan service"
03/08/2025,5,positive,Proses mudah dan cepat
02/08/2025,5,positive,Mantap pelayanan nya jos gandos
02/08/2025,5,positive,"Pelayanan bagus, ramah, puas"
02/08/2025,5,positive,"Baguss sekalii sangat ramah dan detail dalam menjelaskan, terima kasih"
02/08/2025,5,neutral,"Pelayanan bagus, banyak promo, tempat bagus..."
02/08/2025,5,positive,Mantap pelayanannya puas
02/08/2025,5,neutral,"pelayanan sangat baik, ramah dan tempatnya sangat nyaman. sangat direkomendasikan untuk beli di tiga putra kawi"
02/08/2025,5,neutral,Keren bagus cepat
02/08/2025,5,neutral,pelayanannya sangat ramah sekalii
02/08/2025,5,positive,"Pelayanan ramah, harga murah, barang berkualitas."
02/08/2025,5,positive,"Puas banget sama pelayan disini di bantu mba dwii, baik dn ramah"
01/08/2025,5,positive,terima kasih sudah di antar ke rumah saya
01/08/2025,5,neutral,pelayanan baik dan ramah
01/08/2025,5,neutral,Pelayanan ramah Suka sekali&langanan beli HP di sini
01/08/2025,5,positive,"Sudah langganan sama mas achmad, pelayanan bagus dan ramah. Saran beli hp ke mas achmad"
01/08/2025,1,negative,"buruk , tidak profesional staffnya"
01/08/2025,1,negative,"pelayanan kurang memuaskan, update info aksesoris terlalu terbelit belit, tidak transparant saat sebelum pembelian, padahal saya belinya juga cash ga cicil, minimal kalau memang barang/aksesoris kosong, ngomong di awal, jangan setengah2 hanya ingin capai target, udah 3 bulan saya tunggu gaada kejelasan, disini saya beli huawei matepad se"
31/07/2025,5,neutral,Pelayanan ok
31/07/2025,5,negative,Pelayanan dan tempat sangat baik
31/07/2025,5,neutral,pelayanannya baik
31/07/2025,5,neutral,pelayanan sangat bagus dan baikk
31/07/2025,5,negative,Sangat bagus pelayanan dan service nya semoga di pertahankan kayak gini ya
31/07/2025,5,neutral,over all Pelayanan yg sangat bagus dan ramah
31/07/2025,5,positive,Sudah langganan dan selalu puas untuk pelayanannya
31/07/2025,5,neutral,"pelayanannya bagus,ramah,baik"
31/07/2025,5,neutral,Pelayanannya bagus..masnya ramah
31/07/2025,5,positive,pelayana ramah proses cepat
31/07/2025,5,neutral,"Pelayanan bagus, mas nya ramah di kasih konsumsi juga"
30/07/2025,1,neutral,"lain kali kalo nyales jangan terlalu maksa ya mas, td waktu beli dia nyaranin nambah hydrogel dan katanya ga ada yg jual hydrogel dimanapun selain disitu dan itu ngotot bgt astaga (agak mau marah, soalnya di tempatku kerja jg ada hydrogel buat tab wkwk) mana harga nya mahal bener 150 rebu. setelah liat ulasan banyak yg complain perkara hydrogel, bersyukur sih gajadi pasang wkwkw"
30/07/2025,5,positive,Pelayanannya ramah dan harganya murah
30/07/2025,5,neutral,Mantab pelayanan nya
30/07/2025,5,positive,Good service and very helpfull
30/07/2025,5,positive,top cer lur pelayanan manteb
30/07/2025,5,positive,"Bagus, terkaya, karyawan nya ramah"
30/07/2025,5,neutral,Mantab sekali pelayanan nya
30/07/2025,5,positive,pelayanann nyaa toppp bangettt dapet kopi sama free air putihh sepuasnya kata mbak nya
29/07/2025,5,positive,Memuaskan
29/07/2025,5,positive,Best service Good quality pròduct
29/07/2025,5,positive,beli kartu pelayanan oke di bantu sampai bisa
29/07/2025,5,neutral,Recomend !!!
29/07/2025,5,neutral,Pelayanannya ok
29/07/2025,5,neutral,Tempatnya nyaman dan Pelayanan pasti ramah
28/07/2025,5,positive,Tempatnya nyaman. Pelayanannya sangat baik. Orang ramah terima kasih kak Dhika
28/07/2025,5,positive,"Pelayanan memuaskan, sabar, dan rinci menjelaskan. Terima kasih Mas Yusril"
28/07/2025,5,neutral,Termksih mbak sangat baik
28/07/2025,5,neutral,Pelayanan ramahh dapet Snack dan voucerrr yeyyy kakak' nya cantik'
27/07/2025,5,positive,"Pelayanan ramah, gercep , mantap pols"
27/07/2025,5,positive,Toko Nyaman Barang lengkap Dan pelayanannya memuaskan di layani sama Mbk Riris
27/07/2025,5,neutral,Memberikan pelayanan solutif dan ramah
27/07/2025,5,neutral,Pelayanannya ramah
27/07/2025,5,positive,"Pelayanan oke, satset"
27/07/2025,5,positive,"Pelayanan sangat baik, tidak lambat, cepat"
27/07/2025,5,positive,Pelayanan ramah dan membantu menjelaskan terkait produk.
27/07/2025,5,positive,Trimakasih mbak gayatri mas agung...siip
27/07/2025,5,neutral,Pelayanan OK
27/07/2025,5,positive,Makasih mas Rossi buat pelayanannya
27/07/2025,5,neutral,Ternyata pelayanan pakai shoope bisa dan mudah
27/07/2025,5,neutral,pelayanan ramah
27/07/2025,5,neutral,"Pelayanan sangat ramah, cepat dan baik"
27/07/2025,5,positive,Terima kasih sudah dilayani dengan baik
27/07/2025,5,neutral,"Ramah pelayanannya, edukatif, dan nyaman tempatnya"
27/07/2025,5,neutral,Tempat nyaman
27/07/2025,5,positive,beli vivo X200 dibantu mas tama vivo sangat memakai dijelaskan detail spec nya
27/07/2025,5,positive,"Pelayanan bagus banget, koleksi lengkap, banyak pilihan."
27/07/2025,5,neutral,Pelayananya ok dan ramah
27/07/2025,5,positive,"Parkir luas, tempat nyaman,semua brand ada,pegawai nya ramah semua"
27/07/2025,5,positive,"Belanja nyaman, tempat nyaman, parkiran gratis. Sudah langganan sama mas achmad"
27/07/2025,5,positive,"Pelayanan baik, masnya ramah, komunikatif . Dijelaskan detail produknya"
26/07/2025,5,positive,Dibantu sama mbak Ria yang ramah dan product knowledge yg bagus. Makasih mbak
26/07/2025,5,neutral,Pelayanan sangat bagus
26/07/2025,5,neutral,Langganan cui..
26/07/2025,5,negative,"staf e ramah, dikasih opsi banyak unit"
26/07/2025,5,neutral,Senang dengan pelayanannya ramah ramah dan bagus.
26/07/2025,5,neutral,Pelayanannya cepat ramah dan baik
26/07/2025,5,neutral,Bagus dan murah
26/07/2025,5,positive,Mantap banget pelayanan rama
25/07/2025,5,positive,TOPPPP
25/07/2025,5,positive,Pelayanannya oke... Tempat luas Enaknya lgi free parkir
25/07/2025,5,neutral,pelayanan ramah dan cepat
25/07/2025,5,neutral,Pelayanan bagus
25/07/2025,5,positive,"Keren banget, pelayanan sangat cepat, dan Mbaknya Ramah buanget. Dikasih garansi juga. TOP pokoknya✨️"
25/07/2025,5,positive,Harga murah pelayanan super ramah
25/07/2025,5,positive,"Terima kasih mas rossi , pelayanannya sangat ramah dan bisa milihkan hp sesuai kebutuhan dan budget saya, semoga sehat selalu mas rossi"
25/07/2025,5,neutral,Pelayanan sangar ramah dan baik
25/07/2025,5,positive,puas dengan pelayanannya
25/07/2025,5,neutral,Pelayanan baik dan cepat
25/07/2025,5,neutral,"Sangat membantu, banyak pilihan, harga terjangkau"
25/07/2025,5,positive,helpfull bgt dan sabar
25/07/2025,5,neutral,karyawannya ramah sekali
24/07/2025,5,positive,"tempat nyaman , pelayanan ramah sales mbak avia top"
24/07/2025,5,neutral,Terbaik
24/07/2025,5,negative,"selalu memberikan pelayanan terbaik, apa lagi mas realme"
24/07/2025,5,positive,"pelayanan baguss , pegawainya ramah bgtt , untuk tempatnya nyaman"
24/07/2025,4,neutral,"Pertama beli di tiga putra pelayanan ramah , mas nya baik d arahkan mana hp yg terbaik atau tidak tidak mengecewakan"
24/07/2025,5,positive,"Excellent service, great items….so satisfied belanja disini, makasih mas Galang for the guidance"
23/07/2025,5,positive,Tempatnya luas nyaman Free parkir Pelayan ramah
23/07/2025,5,neutral,"Pelayanan ramah, sales nya cantik (avia)"
23/07/2025,5,positive,Terima kasih bisa milihkan hp mas rossi
23/07/2025,5,positive,"Pelayanan bagus, dijelasin sampai detail dibantu sampe ngerti , trims Mas Galang dan Mbak Elisa, pokoknya memuaskan belanja di disini, dapet Snack n drink lagi, jempol 5 deh"
23/07/2025,5,positive,Baik ramah pelayanan nyaman bangeeett
23/07/2025,5,neutral,Ramah & besar tmptnya
23/07/2025,5,positive,Pelayanan Memuaskan Harga Kompetitif
23/07/2025,5,negative,"Pelayanannya baguss, ramah, sudah beberapa kali beli hp disini. Dan semuaa staff nya ramah.. Sukaa poll"
23/07/2025,5,positive,Pelayannya memuaskan
23/07/2025,4,neutral,"Baik, cepat dilayani"
22/07/2025,5,positive,Servis memuaskan
22/07/2025,5,positive,Sangat lengkap harga mulai 1.2jt juga ada
22/07/2025,5,positive,Terimakasih
22/07/2025,5,positive,Sangat puas dengan pelayanan masnya
22/07/2025,5,neutral,Pelayanannya ok Cepat ramah
22/07/2025,5,negative,"Tempat nyaman , Pelayanan ok dikasih snack dan minum"
22/07/2025,5,positive,Rekomen untuk beli gadget dll...pelayanan ramah dan harga terbaik
22/07/2025,5,positive,Alhamdulillah pelayanan ramah
22/07/2025,5,neutral,Terima kasih mas tama vivo atas pelayanan nya
22/07/2025,5,positive,Toko hp rekomend lengkap dan terpercaya pelayanan bwaikkk
21/07/2025,5,negative,Seneng stok hp lengkap dan pelayanan mbaknya baik dan ramah
21/07/2025,4,positive,"Pelayanan baik, dari awal hingga akhir Produk lengkap"
21/07/2025,5,positive,Terimakasih semoga spd nya semoga awet..Terimakasih kak aini
21/07/2025,5,positive,Terima kasih tiga putra..harganya murah dari counter² lain..terbaik memang tiga putra
21/07/2025,5,negative,Stok nya lengkap kredit gampang gak ribet
20/07/2025,5,positive,"Pelayanannya enak, sebelum beli dijelasin juga enak juga, pembayaran cepet nggak ribet, dibantu sama Mas Rosi juga dari depan pintu smpe langsung diarahin ke barang yg saya mau, di test detail juga Mantap"
20/07/2025,5,positive,mantapp gaiss
20/07/2025,5,neutral,pelayanannya ramah...
20/07/2025,5,positive,Terima kasih mas tema vivo sudah beli vivo v50lte
20/07/2025,5,neutral,"baik, pelayanan ramah. barang Ok."
20/07/2025,5,positive,Pelayanan ramah bgt.. Pokoknya keren
20/07/2025,5,positive,Harga murah pelayanan nyaman.....homy deh
20/07/2025,5,positive,"Tempatnya bagus,bersih dan pelayanannya bagus ,, yang lebih oke itu promonya banyak"
19/07/2025,5,neutral,Pelayanannya bagus dan ramah
19/07/2025,5,neutral,Pelayanannya sangat baik
19/07/2025,5,positive,"pelayanannya bagus, pegawainya juga ramah²"
19/07/2025,5,positive,mantap pelayanan
19/07/2025,5,positive,"pelayanan ramah dapet snack gratis dan pegawainya welcome"""
19/07/2025,5,positive,Pelayanan ramah dan sangat membantu.. Udah dua kali beli di sini cocok dan puas.. Terimakasih..
19/07/2025,5,negative,Thanks ka Dika sdh bantu pilih hp dan cek semuanya...dpt tws. Smg next ada lebih byk bonus yaa
19/07/2025,5,neutral,Pelayanan ramah dan memuaska
19/07/2025,5,positive,proatanan cepat memuaskan
19/07/2025,5,positive,Store Handphone yang terpercaya di malang
19/07/2025,5,positive,Pelayanan terbaik sukses selalu
19/07/2025,5,neutral,Toko hp deket dari rmh . Not badlah lengkap .
19/07/2025,5,positive,"Sangat enak tempat dan suasana belanja , sales tidak mengarahkan ke 1 brand tapi objektif jadi menyerahkan keputusan kepada costumer, dan kebetulan saya dilayani dengan mas tama sangat ramah terimakasih."
19/07/2025,5,neutral,Store nya nyaman dan utk mas salesnya ramah dan banyak membantu semua kesulitan kami..perfect
19/07/2025,5,positive,Pelayanan oke.
19/07/2025,5,neutral,Pelayan sangat ramah dan membantu sekali.
19/07/2025,5,negative,Terimakasih atas pelayanan mas rosi selaku staf tiga putra kawi. Sudah dibantu dalam pengecekan pembelian hp baru untuk anak saya.
18/07/2025,5,positive,Okeee pelayanannya
18/07/2025,5,positive,"Helpful, promo menarik"
18/07/2025,5,neutral,Pelayanannya baik di bantu dengan kak RIA tiga putra
18/07/2025,5,neutral,@dhika Pelayanannya ramahh
18/07/2025,5,neutral,Stok lengkap harga murah
18/07/2025,5,positive,"terimakasih mbk citra, mbak nya baik"
18/07/2025,5,positive,"Aksesoris lumayan lengkap, tempat luas dan free parkir"
18/07/2025,5,negative,"Pembelian unit dengan mas rossi... Pelayanan yang diberikan sangat baik, penyampaian sangat komunikatif dan juga informatif.... Dengan begitu beliau bisa merekomendasikan unit yang sesuai kebutuhan dengan baik."
18/07/2025,5,neutral,pelayanan ramah cepat dan sigapp
18/07/2025,5,negative,toko terlengkap di kota malang dan pelayanan ramah-ramah
18/07/2025,5,positive,Pelayanan ok....harga lumayan bs dapet disc dari Shopee... Tks
18/07/2025,5,positive,harga murah pelayanan masnya baik
18/07/2025,5,positive,Sabar hadapi customer
18/07/2025,5,positive,Pelayan yg baik...tempat luas Free parkir
18/07/2025,5,positive,Terimakasih mas tama Vivo sudah di bantu untuk Infinix nya
18/07/2025,5,positive,"Bagus, terpercaya, original, pelayanan dari karyawannya ramah"
18/07/2025,5,positive,"Dengan mas @rossi ramah,gercep sabar ... terimakasih"
17/07/2025,5,neutral,"Pelayanan sip mantab , Dengan mas firman."
17/07/2025,5,positive,Pelayan karyawan sangat baik karna sdh di bantu Trima kasih banyak
17/07/2025,5,neutral,"Stock lengkap, pelayanan bagus"
17/07/2025,5,neutral,Di bantu oleh mas Adit sudah langganan sejak 2019
17/07/2025,5,positive,Sip rekomendasi banget!!
17/07/2025,5,positive,"Pelayanan baguss , pegawainya ramahhh bgtt , untuk tempatnyaa nyamann"
17/07/2025,5,negative,"pelayanan terbaik, semua ramah"
17/07/2025,5,neutral,pelayanan di tokoh ini sangat ramah
17/07/2025,5,positive,Lebih banyak promonya
17/07/2025,5,neutral,Tempatnya nyaman pelayanannya baik
17/07/2025,5,neutral,Pelayanannya ramah dan cepat. Harga kompetitif. Barang selalu diperiksa kondisinya. Tempatnya juga nyaman.
17/07/2025,5,positive,pelayanan mantap
17/07/2025,5,neutral,Pelayanan ramah dan cepat ...
17/07/2025,5,neutral,pelayanannya bagus ramah dan cepat
17/07/2025,5,positive,"Pelayanan bagus serta tempatnya nyaman , karyawan juga ramah"
17/07/2025,5,neutral,Pelayanan sangat bagus Harga karena bulan kemarin beli Dikasih discout
17/07/2025,5,positive,terimakasih mas tama vivo sudah dengan ramah melayani saya membeli hp ☺️
17/07/2025,5,neutral,Pelayanan bagus ramah
16/07/2025,5,neutral,"Cari hp apa aja ada & harganya terjangkau, terima kasih buat mas Adit yg selalu setia mengantarkan orderan saya"
16/07/2025,5,positive,Terimakasih sangat membantu pelayanan bagus
16/07/2025,5,positive,Pelayan kak Avia sangat bagussss. Terima kasihhh ya kak sukses trus
16/07/2025,5,neutral,Pelayanan ramah dan sangat membantu sekali
16/07/2025,5,positive,Pelayanan baik udah sering ke sini di layanin sama mas ali
16/07/2025,5,neutral,"Tempatnya nyaman dan lengkap dr hp sampe asesorisnya, dilayani mas hengki yg ramah dan sat set."
16/07/2025,5,positive,"Beli hp di toko tiga putra ini pelayanannya baik, trs harga juga sesuai dan ada potongannya dan masih dapat gift juga. Menurutku ini sangat untung sih saya sebagai customer"
16/07/2025,5,negative,"Terima kasih atas pelayanan hari ini, niat hati cuman ke grapari karena ngajak si kecil skalian cari hp dan di layani sama mas rossi , alhamdulillah pelayanan cukup ramah dan sangat membantu memilihkan hp"
16/07/2025,5,neutral,Pelayanan cepat mas nya grecep
16/07/2025,5,negative,"Selalu langganan beli disini , Dibantu semua setting dan pindah data .. best"
16/07/2025,5,positive,"Original resmi, garansi terpercaya ga ribet, top!"
16/07/2025,5,positive,"Satisfied with the service they offer, the staff members are helpful in explaining the products and even helped us find the right product that suits our needs. Mas Adit gave us an outstanding service and we are happy with our experience here. Thank you!"
