processed_text,sentiment
layan sini baik pegawai nya ramah tempat nya nyaman,positive
layan baik bantu pindah data,negative
pelayananya oke harga worth its sih terimakasih,positive
layan baik ramah,neutral
muas layan baik,positive
layan muas,positive
tempat pelayananya lumayan,negative
pegawai ramah tempat bersih,neutral
mantap,positive
pelayananya mbknya sangat bantu rekom,neutral
layan baik ramah kualitas baik,positive
best service banget lah pokok helpful,positive
karyawan nya sangat ramah pelayananya sangat muas terima kasih mbak dwi,positive
layan nya sangat baik ramah,neutral
tempat gede layan baik,negative
layan ramah cepat suasana nyaman,positive
baru pertama beli sini bantu mas tama layan oke bantu tuntas terimakasih,positive
tempat nyaman layan baik,neutral
layan ramah cepat rekomendasi,neutral
terima kasih mas arif layan baik,positive
terbaeek humble,neutral
tempat nyaman layan baik ramah,neutral
puas belanja sini layan ramah edukatif,positive
layan customer,neutral
layan nya ramah mbak nya baik banget beri jelas layan baik kalau harga golong normal umum nya,positive
murah riah nyaman layan,positive
layan baik,neutral
nyaman pegawai rama,positive
pelayananya muas sangat bantu,positive
layan oke harga saing,positive
pelayananya sangat baik,neutral
memang oke banget mau beli hp apa karyawanya ramah baik utama mbak ria sangat bantu jelas produk hp ramah sopan terimakasih,positive
promotor ramah jelas produk sangat baik,positive
cepat layan nya nyaman tempat nya,neutral
layan sangat baik dang rama,positive
layan ramah baik percaya,positive
terima kasih mbak layan ramah banget,positive
rekomen,neutral
tempat karyawanya ramah datang langsung sambut layan ful,neutral
layan banyak pilih produk gadget nya tempat nyaman unjung parkir luas,positive
layan mantap bantu pindah data semua mantaps,negative
muas bantu pindah data selesai,neutral
layan nya baik ramah ramah erti butuh pelang kuasa jelas spesifikasi produk jual terimakasih,positive
jelas lengkap mantap,positive
pelayanya baik sabar,positive
layan ramah sangat cepat tarik,positive
layan cepat ramah,neutral
layan baik jelas produk baik layan cepat,positive
pelayananya mas mas nya jelas baik,neutral
layan ramah harga jangkau,positive
toko elayanan ramah back,neutral
layan ramah barang lengkap,neutral
seler ramah komunikatif bayar mudah,neutral
layan cakep sih recomended enggak beli hp nyaman service,positive
proses mudah cepat,positive
mantap layan nya jos gandos,positive
layan ramah puas,positive
sangat ramah detail jelas terima kasih,positive
layan banyak promo tempat,neutral
mantap pelayananya puas,positive
layan sangat baik ramah tempat sangat nyaman sangat rekomendasi beli,neutral
keren cepat,neutral
pelayananya sangat ramah,neutral
layan ramah harga murah barang kualitas,positive
puas banget sama layan sini bantu mbak dwii baik ramah,positive
terima kasih antar rumah,positive
layan baik ramah,neutral
layan ramah suka langanan beli hp sini,neutral
langanan sama mas achmad layan ramah saran beli hp mas achmad,positive
buruk profesional staf,negative
layan kurang muas update info aksesoris terlalu belit belit transparant beli padahal beli cash enggak cicil minimal kalau memang barang aksesoris kosong omong awal jangan tengah capai target bulan tungu enggak jelas sini beli huawei matepad se,negative
layan,neutral
layan tempat sangat baik,negative
pelayananya baik,neutral
layan sangat baik,neutral
sangat layan service nya moga tahan kayak begini,negative
over al layan sangat ramah,neutral
langanan selalu puas pelayananya,positive
pelayananya ramah baik,neutral
pelayananya mas ramah,neutral
pelayana ramah proses cepat,positive
layan mas nya ramah kasih konsumsi,neutral
kali kalo nyales jangan terlalu maksa mas tadi waktu beli saran tambah hydrogel kata enggak jual hydrogel mana situ ngotot banget astaga mau marah soal tempat kerja hydrogel buat tab wkwk mana harga nya mahal benar rebu lihat ulas banyak complain perkara hydrogel syukur sih gajadi pasang wkwkw,neutral
pelayananya ramah harga murah,positive
mantab layan nya,neutral
good service and very helpful,positive
top cer lur layan mantap,positive
kaya karyawan nya ramah,positive
mantab layan nya,neutral
layan nya top banget kopi sama free air putih puas kata mbak nya,positive
muas,positive
best service good quality pr duct,positive
beli kartu layan oke bantu,positive
recomend,neutral
pelayananya,neutral
tempat nyaman layan ramah,neutral
tempat nyaman pelayananya sangat baik orang ramah terima kasih kak dhika,positive
layan muas sabar rinci jelas terima kasih mas yusril,positive
termksih mbak sangat baik,neutral
layan ramah snack voucer yey kakak nya cantik,neutral
layan ramah gercep mantap pols,positive
toko nyaman barang lengkap pelayananya muas layan sama mbak riris,positive
beri layan solutif ramah,neutral
pelayananya ramah,neutral
layan oke satset,positive
layan sangat baik lambat cepat,positive
layan ramah bantu jelas kait produk,positive
trimakasih mbak gayatri mas agung sip,positive
layan,neutral
terima kasih mas ros buat pelayananya,positive
nyata layan pakai shoope mudah,neutral
layan ramah,neutral
layan sangat ramah cepat baik,neutral
terima kasih layan baik,positive
ramah pelayananya edukatif nyaman tempat,neutral
tempat nyaman,neutral
beli vivo kali bantu mas tama vivo sangat pakai jelas detail spec nya,positive
layan banget koleksi lengkap banyak pilih,positive
pelayananya ramah,neutral
parkir luas tempat nyaman semua brand pegawai nya ramah semua,positive
belanja nyaman tempat nyaman parkir gratis langanan sama mas achmad,positive
layan baik mas ramah komunikatif jelas detail produk,positive
bantu sama mbak ria ramah product knowledge terima kasih mbak,positive
layan sangat,neutral
langanan cui,neutral
staf ramah kasih opsi banyak unit,negative
senang pelayananya ramah ramah,neutral
pelayananya cepat ramah baik,neutral
murah,neutral
mantap banget layan rama,positive
top,positive
pelayananya oke tempat luas enak free parkir,positive
layan ramah cepat,neutral
layan,neutral
keren banget layan sangat cepat mbak ramah banget kasih garansi top pokok,positive
harga murah layan super ramah,positive
terima kasih mas ros pelayananya sangat ramah milihkan hp sesuai butuh budget moga sehat selalu mas ros,positive
layan sangar ramah baik,neutral
puas pelayananya,positive
layan baik cepat,neutral
sangat bantu banyak pilih harga jangkau,neutral
helpful banget sabar,positive
karyawanya ramah,neutral
tempat nyaman layan ramah sales mbak avia top,positive
baik,neutral
selalu beri layan baik apa mas realme,negative
layan pegawai ramah banget tempat nyaman,positive
pertama beli layan ramah mas nya baik arah mana hp baik kecewa,neutral
excelent service great items sok satisfied belanja sini terima kasih mas galang for the guidance,positive
tempat luas nyaman free parkir layan ramah,positive
layan ramah sales nya cantik avia,neutral
terima kasih milihkan hp mas ros,positive
layan dijelasin detail bantu erti terima kasih mas galang mbak elisa pokok muas belanja sini snack drink jempol deh,positive
baik ramah layan nyaman banget,positive
ramah besar tmptnya,neutral
layan muas harga kompetitif,positive
pelayananya ramah beberapa kali beli hp sini semuaa staf nya ramah suka pol,negative
pelayanya muas,positive
baik cepat layan,neutral
servis muas,positive
sangat lengkap harga mulai juta,positive
terimakasih,positive
sangat puas layan mas,positive
pelayananya cepat ramah,neutral
tempat nyaman layan kasih snack minum,negative
rekomen beli gadget dulu layan ramah harga baik,positive
alhamdulilah layan ramah,positive
terima kasih mas tama vivo atas layan nya,neutral
toko hp rekomend lengkap percaya layan bwaik,positive
senang stok hp lengkap layan mbak baik ramah,negative
layan baik awal hinga akhir produk lengkap,positive
terimakasih moga spd nya moga awet terimakasih kak ain,positive
terima kasih harga murah counter baik memang,positive
stok nya lengkap kredit gampang enggak ribet,negative
pelayananya enak beli dijelasin enak bayar cepat enggak ribet bantu sama mas ros depan pintu langsung diarahin barang mau test detail mantap,positive
mantap gais,positive
pelayananya ramah,neutral
terima kasih mas tema vivo beli vivo lte,positive
baik layan ramah barang,neutral
layan ramah banget pokok keren,positive
harga murah layan nyaman homy deh,positive
tempat bersih pelayananya lebih oke promonya banyak,positive
pelayananya ramah,neutral
pelayananya sangat baik,neutral
pelayananya pegawai ramah,positive
mantap layan,positive
layan ramah snack gratis pegawai welcome,positive
layan ramah sangat bantu kali beli sini cocok puas terimakasih,positive
thanks kak dika bantu pilih hp cek semua tws moga next lebih banyak bonus,negative
layan ramah memuaska,neutral
proatanan cepat muas,positive
store handphone percaya,positive
layan baik sukses selalu,positive
toko hp dekat rumah not bad lengkap,neutral
sangat enak tempat suasana belanja sales arah brand objektif jadi serah putus costumer betul layan mas tama sangat ramah terimakasih,positive
store nya nyaman mas salesnya ramah banyak bantu semua sulit perfect,neutral
layan oke,positive
layan sangat ramah bantu,neutral
terimakasih atas layan mas ros selaku staf bantu kece beli hp baru anak,negative
oke pelayananya,positive
helpful promo tarik,positive
pelayananya baik bantu kak ria,neutral
pelayananya ramah,neutral
stok lengkap harga murah,neutral
terimakasih mbak citra mbak nya baik,positive
aksesoris lumayan lengkap tempat luas free parkir,positive
beli unit mas ros layan beri sangat baik sampai sangat komunikatif informatif beliau rekomendasi unit sesuai butuh baik,negative
layan ramah cepat sigap,neutral
toko lengkap kota layan ramah ramah,negative
layan harga lumayan disc shopee tks,positive
harga murah layan mas baik,positive
sabar hadap customer,positive
layan baik tempat luas free parkir,positive
terimakasih mas tama vivo bantu infinix nya,positive
percaya original layan karyawanya ramah,positive
mas ramah gercep sabar terimakasih,positive
layan sip mantab mas firman,neutral
layan karyawan sangat baik bantu terima kasih banyak,positive
stock lengkap layan,neutral
bantu mas adit langanan sejak,neutral
sip rekomendasi banget,positive
layan pegawai ramah banget tempatnyaa nyaman,positive
layan baik semua ramah,negative
layan tokoh sangat ramah,neutral
lebih banyak promonya,positive
tempat nyaman pelayananya baik,neutral
pelayananya ramah cepat harga kompetitif barang selalu periksa kondisi tempat nyaman,neutral
layan mantap,positive
layan ramah cepat,neutral
pelayananya ramah cepat,neutral
layan tempat nyaman karyawan ramah,positive
layan sangat harga bulan kemarin beli kasih discout,neutral
terimakasih mas tama vivo ramah layan beli hp,positive
layan ramah,neutral
cari hp apa harga jangkau terima kasih buat mas adit selalu setia antar order,neutral
terimakasih sangat bantu layan,positive
layan kak avia sangat terima kasih kak sukses terus,positive
layan ramah sangat bantu,neutral
layan baik sering sini layanin sama mas ali,positive
tempat nyaman lengkap hp asesorisnya layan mas hengki ramah sat set,neutral
beli hp toko pelayananya baik terus harga sesuai potonganya gift turut sangat untung sih customer,positive
terima kasih atas layan hari niat hati cuman grapari ajak sih kecil skalian cari hp layan sama mas ros alhamdulilah layan cukup ramah sangat bantu pilih hp,negative
layan cepat mas nya grecep,neutral
selalu langanan beli sini bantu semua ting pindah data best,negative
original resmi garansi percaya enggak ribet top,positive
satisfied with the service they ofer the staf members are helpful explaining the products and even helped us find the right product that suits our needs mas adit gave us an outstanding service and we are hapy with our experience here thank you,positive
layan jos snack gratis pegawai ramah ramah,positive
alhamdulilah beli hp layan mas sulthan ramah moga sl sukses amin,positive
harga kompetitif layan mas nya baik terima kasih,positive
tugas ramah jasa sangat baik mudah erti,neutral
layan super cepat kak dhika ramah,neutral
layan nyaman tempat,neutral
tempat nyaman layan ramah banget,positive
layan sangat ramah staf bantu telaten nice service harga jangkau,positive
barusan beli watch xiomi layan sama mbak mbak baik jelas fitur fitur sangat jelas terimakasih mbak,positive
layan,neutral
harga murah jangkau mbak mbak ramah tamah,positive
kali beli sini layan selalu muas,positive
layan baik mantap pol,neutral
sok far sok good,positive
layan nya tempat bersih nyaman pegawai nya ramah,positive
type typenya lengkap banget kalau beli samsung promonya banyak banget,positive
layan ramah baik,neutral
layan baik ramah,neutral
good service pegawai sangat komunikatif overal good,positive
layan ramah,neutral
layan sangat ramah jelas mudah paham,neutral
beli opo harga paling murah muter muter layan jos ramah semua jelas detail terimakasih mas,positive
layan ramah puas csnya sabar telaten terima kasih,positive
best store phone,neutral
dulu langanan layan sl oke snack pindah data gratis sukses sl tigaputra langanan ibu ku dulu,positive
pasang screen guard screen guard ribu orang bagaimana waktu lama banget trnyt orang baru oke lah aku kira kapai kok lama banget pasang lebih menit meski mungkin orang baru terus trnyt kotor jadi balik tempat minta dibenerin nungu luama lama nya kata orang nya istirahat lah ganti masak nungu orang tadi balik punya perlu masak hari tetap sana sih telpon orang enggak balik lihat berapa kali hape masak enggak bapak ibu manager tempat pegawai apa enggak lapor akirnya telpon kali trainee tadi minta staf alam nungu lamaa enggak tau apa mau ganti berapa orang lihat kondisi screen guard nya akirnya yaowoh ganti baru lama banget padahal rencana mau mal belah enggak gara nunguin staf toko hape tau enggak berapa menit mas ganti screen guard enggak menit menit lah pulang lama bayang lah apa kira kenganguran punya waktu banyak buat nungu benar enggak mau aku post bulan screen guard bentol lepuh bagaimana an screen guard bawa hape nya terus bagi pingir geser sendiri kualitas apa screen guard nya,negative
cari screenguard buat tab awal amaze sat set sat set iya kalau punya cek tipe tabnya kemudian aneh langsung arah kasir bayar padahal barang cek iyain asumsi punya bayar suruh lantai lantai tungu enggak lama mbak langsung tuju printer screenguard tanya tipe tab minta unit cek akhir proaktif mbak mau ngeprint tabnya itel kali aku serah unit aku kira aman tinggal tungu selesai enggak tau bilang kak tabnya besar marah situ awal nunjukin hp merek tipe tabnya apa sesuai pamflet brandnya jadi bukan salah kasih info enggak tanya pasti awal tab tipe apa buru langsung suruh bayar cek produk ditawarin baik akhir refund tapi rugi waktu emosi sih layan macam apa mbak cuma balikin tab enggak minta maaf cuma bilang kalau tabnya besar screen guardnya enggak cukup hebat banget pelayananya,negative
lonba warna,neutral
sering sering bikin acara anak anak ajar kompetisi selalu semangat jadi juara,neutral
sangat anak kreasi ada lomba warna sklian isi waktu libur lihat lihat beli hp acesories nya,positive
senang asyik jaya jaya,positive
selalu baik harga nyapun murah,positive
mingu semangat sama,positive
pertama kali nya ikut lomba tenyata tempat nya besar banyak asesoris hp banyak alam cocok beli sini,negative
moga makin sukses depa terimakasih jadi wadah kembang putri bangsa,positive
sangat seru lomba warna,neutral
baik moga lancar terus,positive
toko hp lengkap layan ramah,neutral
lomba warna anak,negative
permisi numpang tanya sini jual hp iqoo enggak min,positive
layan beberapa kali beli sini selalu beri rekomendasi tepat terimakasih utama mbak iin beri layan baik,positive
beli handphone bantu sama mbak rere mbak iin layan nya ramah bantu baik terima kasih,positive
bolak balik kesini puas sih sama pelayananya walaupun sempat tanya dulu enggak langsung beli buat banding merk mas nya tetap layan ramah kayak mas tulus sih mungkin kalo toko sini cari mas ros deh,positive
layan dulu memang sangat buruk dulu pernah beli sales cowok pelayananya buruk marah customer barusan sekarang coba beli nyata layan salesnya buruk barusan layan sama sales cewek nama iin beli lu ngejar ngejar customer suruh beli barang habis selesai beli bayar salesnya mau laden enggak bakal deh beli putraa mending beli samsung oficial store langsung halah beli sini paling cuman potong ribu ribu doang layan buruk kasih minum air putih enggak kasi sama kagak modal enggak bakal tempat cukup kemarin akhir kali,negative
layan mas mbak nya ramah banyak event event tarik mantap,positive
satpam bintang banget enggak ramah,positive
depa kalo konsumen bilang pakai kartu kredit jangan jebak buat bikin akun pinjol pinjol indodana orang jelas pakai kartu kredit malah suruh daftar pinjol terus kalo pakai kartu kredit tuh biasa langsung pakai kartu kok bisa jebak pembayaranya lewat ecomerce tau beli online enggak usah repot datang,negative
satpam nya enggak sopan pelang rasa enggak hormat minimal kasih layan baik lah mending bayar parkir ribu parkir gratis kayak,neutral
satpam nya enggak ramah sama masa sama costumer enggak omong baik masa sama costumer omong nada tingi enggak punya atitude ngejelekin nama usaha kalo buat pelang enggak nyaman,positive
pegawai ramah,positive
layan baik mas ervian maaf nyata nama mas erivan komunikatif sabar ramah sekarang sini kalau perlu hp,positive
pelayananya cepat ramah,neutral
tempat nyaman layan muas,positive
mbak dwi pelayananya sangat costumer tempat nyaman maju terus sukses selalu,positive
layan responsif,neutral
layan baik ramah puas,positive
layan promo banyak tempat nyaman,positive
staf ramah arah condong merek tentu referensi semua produk,negative
layan sangat baik ramah cepat percaya barang kualitas kondisi baik baru,positive
belanja hp pusat beberapa sempat sangat senang kan utama segi layan sangat baik mbak selfi mas adit segala merk hp kualitas harga sangat jangkau layan muas sering belanja hp jadi alternatif senang kan semua konsumen hobi beli hp upgrade pilih beli hp salam sukses selalu semua konsumen karyawan,positive
tempat langanan beli hp original service ramah thank you,neutral
mbak mbak pelayanya sangat bantu harga sahabat lho sini banding lai,positive
pelayananya baik selalu beli samsung,neutral
cs ramah bantu,neutral
alhamdulilah deh beli hp baru layan cepat ramah informatif the best,positive
pelayanananya baik ramah barang tawar lengkap mantap,neutral
selalu langanan sini,neutral
terima kasih banyak pelayananya sangat baik recomended beli hp store,positive
barang lengkap fasilitas nyaman layan ramah terimakasih,positive
tingkat kan ramah murah senyum,positive
coba pegawai senyum lak muanis,positive
kalo customer ana nya mudah bukan nya sih sulit kesana mara,negative
karyawan punya etika,positive
tempat buruk jual hp karyawan punya etika sistem kerja karyawan orang bilang produk bukan asli bukan hp konter sendiri bukan produk asli,positive
karyawan sibuk sendiri ac mati ruang jadi pengap masak toko gede begini mati acnya padahal bawa anak kecil layan buruk lempar seperto bola pingpong sales sales,negative
beli samsung toga daat promo free parcel,positive
pelayananya satset mbak nya ramah asik ajak canda mbak gayaatri sama mbak kredivo selvy terus tigaputra,positive
pelayananya beberapa staf paksa terus tanya kes percaya pelang,positive
layan mantab,neutral
mantab,neutral
oke,positive
layan ramah,neutral
layan baik sabar rekomen banget buat cari handphone,positive
pelayananya mas tama ramah oke,positive
langanan proses cepat,positive
langanan sini betul promo beli hp parcel sukses selalu,positive
layan ramah muas,positive
promonya oke hadiah oke pelayananya oke terimakasih mas tama,positive
layan mas tama oke jelas ringkas terimakasih,positive
good banget layan promotor nya,positive
layan cepat ramah,neutral
tempat layan ramah tetimakasih,negative
pelayananya ramah totalitas santun parcel beli bulan romadhon gas kan guys,negative
layan nya rekomen buat cari hp harga jamin murah,neutral
tarik,positive
layan sama mbak sbil cantek,positive
layan top markotop jelas banget penjelasanyaa terus parcel promo ramadhan sukses selalu mbak masnyaa,positive
layan mbak rima selalu baik ramah gercep murah istimewa langanan sini,neutral
hari benar mau beli hp toko rumah lihat rating toko banyak bintang kasir judes cari toko wkwkw,neutral
enggak niat ada doorprize buat konsumen mending beli online banyak promo,positive
responsif pelayananya sangat baik,neutral
terimakasih banyak mas agung wes sabar njelasno kanan kiri bingung cari hp soal pilihanya lengkap saing wes pokok jempol rekomended wes thanks gift undi mudah an amin,positive
seler responsif cepat,neutral
beli unit samsung tiga betul layan mas udin ramah banget informatif super helpful parah unit moga awet,neutral
workshop opo reno hari jadi kepincut pengin po,neutral
puas,positive
layan acara tarik,positive
keren rame layan cepat,neutral
layan ramah tempat nyaman,neutral
sangat senang pelayananya,neutral
mohon maaf memang tanya dm ig enggak beli shopee ambil toko balesanya enggak tanya oficial toko shopee enggak lumayan padahal voucher diskon eh beli toko beli lewat shopee hpnya ambil sendiri nota doang kirim sama kurir kocak,neutral
gae mas sing lemu rambut lurus lek ngelayani sing ramah mek takon tok jalok brosur xiaomi jare gaonok barang diterno nang display hpne lakok onok iyo lek ganteng ngono wes enggak ganteng enggak ramah nih minimal ados sek mas,positive
pelayanany cukup ramah baik dsaat mau lihat enggak terlalu diganguin jadi lebih puas buat cek enggak langsung beli minta kontak buat lebih lanjut tanya via wa layan baik sok far aftersalesny,positive
malam belanja proses nya aman enjoy sih cuma bagi bayar mbak kasir nya name tag aura kurang harga customer tanya perihal beli jawab ketus judes mohon baik atitude kasir nya belanja jadi enggak nyaman harga beli pakai uang tadi hapy jadi kayak begini,negative
kasir kurang enak buat ganyaman mana judes baik buat kasir,neutral
belanja senang damping sama alfa baik ramah sangat sangat bantu,positive
baru ngalamin transaksi tahu awal lancar baik transaksi lewat shopee sempat nungu lama tiba pegawai bilang barang beli sedia sisa display padahal belum sempat tanya kata display aneh sih benar jadi tanda tanya besar cek barang sebut shopee,negative
pas mingu toko diri dekat kasir kasir ditanyaain sama mbak mbak samping kasir malah judes banget jawab meski obrol sama sama karyawan kesanya kurang baik kalo depan customer posisi depa gojek antri mau ambil barang atitude mbak kasir baik,neutral
layan fasilitas harga lengkap produk sedia semua buat tempat jadi tempat recomended banget beli gadget top deh thankyou,positive
layan ramah banyak promo tempat nyaman bersih,positive
layan sangat ramah,neutral
rekomendasi beli hp gadget sini layan sangat the best demo hp dna gadget sangat lengkap detail harga saing personilnya ramah ramah humble friendly semua,neutral
layan sama sabil cantik,neutral
mantap sangat fast respon sales adit opo,positive
toko handphone layan baik muas jos,positive
layan muas cuma ac kurang dingin harga lumayan,neutral
rekomended buat beli gawai servicenya top banget tadi layan sama mbak gayatri ramah banget orang kasih jasa detail bintang lima pokok,positive
layan muas beli nyaman legah sangat sangat puas kwalitas barang jamin sangat,positive
tempat bersih luas pelayananya perlu ragu mbak riris memang baik sih moga selalu tahan terus kualitas pelayananya sukses selalu,positive
harga miring layan mas tama oke tempat nyaman terimakasih tigaputra,positive
layan sales mbak ria layan mbak ria sangat muas,positive
keren pelayananya,neutral
beli hp pelayananya ramah layan sama mas ros baik terima kasih mas ros,positive
layan nya oke mas tama ramah telaten handel cust terimakasih,positive
datang aku beli ramah banget langsung bro erifan kalau kesini kalian enggak bakal pusing pilih jelas detil pol tempat nyaman adem layan sat set,negative
puas banget layan sopan harga jangkau the best,positive
layan baik ramah informasi beri mudah paham bantu mas yusril terima kasih,positive
store hp kota tempat bersih luas semua brand hp lengkap salesnya ramah baik telaten layan sama mbak avia mas zein terimakasih servis,positive
layan ramah datang langsung bantu sama mbak diajeng arah kalem sabar the best,positive
lengkap,neutral
layan mbak diajeng very good langanan kapan kasih hadiah,positive
penangananya sangat cepat ramah terima kasih mbak gayatri bantu pelayananya sat set,positive
layan ramah,neutral
kak yajeng layan ramah baik kastermer,neutral
terima kasih tigaputra layan adit opo,positive
banyak promo hadiah layan nya mas tama oke ramah terimakasih,positive
layanii sama kak sabil mantap,positive
sangat lengkap layan nya ramah,neutral
layan ramah cepat barang nya rekomendasi banget,positive
sangat bantu,neutral
sangat rekomendasi bingung buat beli hp pertama kali sini dinotice langsung mas ahmad tanya semua spesifikasi lai sangat bantu,positive
layan ramah parkir luas tempat nyaman,positive
pelayananya mas bintang nya ramah,neutral
pelayananya banget kakak ramah pelayananya cepat,positive
layan mantap tempat nyaman,positive
selalu beli hp baru sini mantap bro,positive
pelayananya mbak ramah,neutral
ramah banget,positive
nyala,neutral
pelayananya ramah nego,neutral
layan baik karyawan baik ramah tempat nyaman,positive
great,positive
ramah ramah layan,neutral
suka layan hp jaman sd layan muas banyak promo tawar tempat luas banyak cabang suka banget,positive
layan nya ramah pilih barang lengkap,negative
good,positive
pelayananya,neutral
sangat baik,neutral
layan baik,neutral
alam sangat enggak enak waktu hujan deras pinjam payung satpam malah ngelayanin kasar enggak ramah sama padahal cuma butuh bantu hujan deras jujur jadi bikin enggak nyaman banget moga depa pelayananya lebih baik sopan,positive
customer service is realy great very satisfied friendly and helpful,positive
cukup lengkap harga saing salesnya kurang kuasa produk,positive
lengkap,neutral
dulu banget jaman beli hp pertama tuh gajahmada akhir buka dekat banget sama rumah terus grapari nya lantai senang banget kalo butuh grapari enggak usah jauh graparinya sini pelayanananya oke pernah review lokasi strategis akses parkir gampang tempat bersih nyaman luas layan pintu masuk beli bayar instalasi sangat baik semua hari beli produk pas banget promo cashback ribu laku tangal juli guys buru,positive
layan ramah muas soal harga bawa rupa lah sok far sok good,positive
layan oke banget banyak diskon paling ibu suka nyicil acara lomba banyak banget hadiah langsung gratis pendaftaranya,positive
paling berkualaitas produk sangat baik,positive
lengkap murah percaya,positive
mbak mbak kasir kurang ramah,negative
layan muas stok lengkap,neutral
kasir nya senyum urus bayar ribet,negative
layan sangat ramah harga murah,positive
layan suip,neutral
beli hp hadiah,neutral
seru banget layan nya ruang nya sangat baik nyaman nyaman pol sangat senang layan baik baik semua ramah semua,negative
mantab produk lengkap pilih varian lali sedia layan sangat muas sales ramah harga murah cari toko nyata pilih murah tetap tahan puas banget belanja,positive
toko hp ter the best,neutral
terimakasih atas informasi,neutral
terima kasih,positive
layan,neutral
