date,rating,ulasan_mentah,text,sentiment
N/A,0,pelayanan sgt lma,layan sangat lama,negative
N/A,0,Pelayanan ramah mas bintang nya,layan ramah mas bintang nya,positive
N/A,0,stok lengkap ramah,stok lengkap ramah,positive
N/A,0,"Mbak dan mas nya sangat membantu sekali,mas uki sama mbak febri",mbak dan mas nya sangat bantu sekali mas uki sama mbak febri,positive
N/A,0,Sangat memuaskan pelayanannya,sangat muas pelayananya,positive
N/A,0,Pelayanannya cepat dan staff ramah,pelayananya cepat dan staf ramah,positive
N/A,0,"Pelayanan ramah, sigap dan paling penting barang dijamin ori",layan ramah sigap dan paling penting barang jamin orisinal,positive
N/A,0,Toko oke pelayanan dan ramah dalam menjelaskan spek hp,toko oke layan dan ramah dalam jelas spek hp,positive
N/A,0,Assesoriesnya lengkap,asesoriesnya lengkap,positive
N/A,0,"Produk lengkap, pelayanan ramah dan hrg oke",produk lengkap layan ramah dan hrg oke,positive
N/A,0,Lengkap mantap,lengkap mantap,positive
N/A,0,"Toko handphone terlengkap , parkir nya luas di tengah kota malang",toko handphone lengkap parkir nya luas di tengah kota malang,negative
N/A,0,"Pelayanannya Baik terhadap Custamer , Ramah Tamah.",pelayananya baik hadap custamer ramah tamah,positive
N/A,0,Pelayanan super ramah dan Excellent service Dapat welconedrink dan camilan untuk menemani aku yang lagi Pindah data hehe,layan super ramah dan excelent service dapat welconedrink dan camil untuk tani aku yang lagi pindah data hehe,negative
N/A,0,"HP nya keren keren, garansi mutu terjamin, servis nya baik sekali",hp nya keren keren garansi mutu jamin servis nya baik sekali,positive
N/A,0,Koko yg punya baik dan ceriah orangnya.beli hp dikasih gratis voucer karaoke. Tq 3 putra,koko yang punya baik dan ceriah orang beli hp kasih gratis voucer karaoke tq putra,positive
N/A,0,"Sangat ramah,harga bersahabat",sangat ramah harga sahabat,positive
N/A,0,pelayanannya ramah dan harga jerjangkau dan tempatnya nyaman,pelayananya ramah dan harga jerjangkau dan tempat nyaman,positive
N/A,0,Selamat ualang tahun TAM semoga tambah sukses,selamat ualang tahun tam moga tambah sukses,positive
N/A,0,Acara Sendratari TAM Vaganza Tiga Putra Malang keren bangetttt ✨✨,acara sendratari tam vaganza tiga putra malang keren banget,positive
N/A,0,"Pelayanannya ramah, mantap",pelayananya ramah mantap,positive
N/A,0,pelayanan sangat baik,layan sangat baik,positive
N/A,0,Pelayanan sangat baik dan ramahharga terjangkau include garansi toko terbaik,layan sangat baik dan ramaharga jangkau include garansi toko baik,positive
N/A,0,Gak masuk akal,enggak masuk akal,negative
N/A,0,Pelayanan sangat cepat dan memuaskan....ruangan sangat bagus dan nyaman....,layan sangat cepat dan muas ruang sangat bagus dan nyaman,positive
N/A,0,Tadi sore sudah kesana beli HP pelayanan baik dan Rama terimahkasih,tadi sore sudah kesana beli hp layan baik dan rama terimahkasih,positive
N/A,0,Pelayanan baik,layan baik,positive
N/A,0,Pelayan memuaskan,layan muas,positive
N/A,0,"Pelayanan sangat baik,mas2 dan mbak2 nya ramah.Pilihan hp nya jg banyak.",layan sangat baik mas dan mbak nya ramah pilih hp nya juga banyak,positive
N/A,0,Pelayanan baik dan solutif,layan baik dan solutif,positive
N/A,0,Pelayanan Ramah & Memuaskan,layan ramah muas,positive
N/A,0,Good job,good job,positive
N/A,0,Baik,baik,positive
N/A,0,mantap,mantap,positive
N/A,0,Makasih mb Gayatri sudah melayani dng baik dan ramah,terima kasih mbak gayatri sudah layan dengan baik dan ramah,positive
N/A,0,Good service,good service,positive
N/A,0,Baik pelayanan&pramuniaganya,baik layan pramuniaga,positive
N/A,0,Keren. Pelayanan bagus banget. Cepet dan ramah,keren layan bagus banget cepat dan ramah,positive
N/A,0,"Pelayanan Baik dan ramah, barang pastinya bagus, jangan ragu untuk beli di tiga putra, Top",layan baik dan ramah barang pasti bagus jangan ragu untuk beli di tiga putra top,positive
N/A,0,Pelayanan terbaik,layan baik,positive
N/A,0,Pelayanan nya ramah,layan nya ramah,positive
N/A,0,"Pelayanan disini baik, pegawai nya juga ramah"", tempat nya nyaman",layan sini baik pegawai nya juga ramah tempat nya nyaman,positive
N/A,0,Pelayanan baik dan dibantu pindah data,layan baik dan bantu pindah data,positive
N/A,0,"bagus pelayanannya oke, dan harga worth ITS sih, terimakasih tiga putra",bagus pelayananya oke dan harga worth its sih terimakasih tiga putra,positive
N/A,0,Pelayanan baik dan ramah,layan baik dan ramah,positive
N/A,0,Bagus dan memuaskan Pelayanan baik sekali,bagus dan muas layan baik sekali,positive
N/A,0,Pelayanan memuaskan,layan muas,positive
N/A,0,Pegawainya ramah dan tempatnya bersih,pegawai ramah dan tempat bersih,positive
N/A,0,Pelayanan baik ramah kualitasnya terbaik,layan baik ramah kualitas baik,positive
N/A,0,Best service bgt lah pokoknya!! Helpful,best service banget lah pokok helpful,positive
N/A,0,Karyawan nya sangat ramah dan Pelayanannya sangat memuaskan Terima kasih mbak dwi,karyawan nya sangat ramah dan pelayananya sangat muas terima kasih mbak dwi,positive
N/A,0,Tempatnya gede pelayanan baik,tempat gede layan baik,positive
N/A,0,"Baru pertama beli disini di bantu mas tama, pelayanan oke dan di bantu sampai tuntas. Terimakasih",baru pertama beli sini di bantu mas tama layan oke dan di bantu sampai tuntas terimakasih,positive
N/A,0,"Tempat nyaman, pelayanan baik",tempat nyaman layan baik,positive
N/A,0,"Tempatnya nyaman, pelayanan baik dan ramah",tempat nyaman layan baik dan ramah,positive
N/A,0,"Puas belanja di sini, pelayanan ramah dan edukatif",puas belanja di sini layan ramah dan edukatif,positive
N/A,0,Pelayanan untuk customer bagus,layan untuk customer bagus,positive
N/A,0,"Pelayanan ny ramah, mbak nya baik banget memberikan penjelasan dan melayani dengan baik.. kalau untuk harga tergolong normal pada umum nya..",layan nya ramah mbak nya baik banget beri jelas dan layan dengan baik kalau untuk harga golong normal pada umum nya,positive
N/A,0,Murah meriah dan nyaman dilayani,murah riah dan nyaman layan,positive
N/A,0,"Pelayanannya memuaskan sangat"" membantu",pelayananya muas sangat bantu,positive
N/A,0,"Tiga Putra Kawi emang oke banget,,,mau beli HP apa aja ada,,apalagi karyawannya ramah2 dan baik2,,terutama Mbak Ria,,sangat membantu dalam menjelaskan produk HP serta ramah dan sopan..terimakasih Tiga Putra Kawi",tiga putra kawi memang oke banget mau beli hp apa saja ada apalagi karyawanya ramah dan baik utama mbak ria sangat bantu dalam jelas produk hp serta ramah dan sopan terimakasih tiga putra kawi,positive
N/A,0,Cepat pelayanan nya nyaman tempat nya,cepat layan nya nyaman tempat nya,positive
N/A,0,Pelayanan sangat baik dang rama,layan sangat baik dang rama,positive
N/A,0,Pelayanan mantap dibantu pindah data semua.. mantaps,layan mantap bantu pindah data semua mantaps,positive
N/A,0,Memuaskan dibantu pindah data sampe selesai,muas bantu pindah data sampai selesai,positive
N/A,0,"Pelayanan nya terbaik, ramah ramah. Mengerti kebutuhan pelanggan, dan menguasai penjelasan spesifikasi produk yang dijual. Terimakasih",layan nya baik ramah ramah erti butuh pelang dan kuasa jelas spesifikasi produk yang jual terimakasih,positive
N/A,0,pelayanan ramah sangat cepat dan menarik,layan ramah sangat cepat dan tarik,negative
N/A,0,Pelayanan cepat dan ramah,layan cepat dan ramah,positive
N/A,0,Pelayanan ramah harga terjangkau,layan ramah harga jangkau,negative
N/A,0,Pelayanan ramah barang lengkap,layan ramah barang lengkap,positive
N/A,0,Proses mudah dan cepat,proses mudah dan cepat,positive
N/A,0,"Pelayanan bagus, ramah, puas",layan bagus ramah puas,positive
N/A,0,"Pelayanan bagus, banyak promo, tempat bagus...",layan bagus banyak promo tempat bagus,positive
N/A,0,"pelayanan sangat baik, ramah dan tempatnya sangat nyaman. sangat direkomendasikan untuk beli di tiga putra kawi",layan sangat baik ramah dan tempat sangat nyaman sangat rekomendasi untuk beli di tiga putra kawi,positive
N/A,0,"Pelayanan ramah, harga murah, barang berkualitas.",layan ramah harga murah barang kualitas,positive
N/A,0,"Puas banget sama pelayan disini di bantu mba dwii, baik dn ramah",puas banget sama layan sini di bantu mbak dwii baik dan ramah,positive
N/A,0,pelayanan baik dan ramah,layan baik dan ramah,positive
N/A,0,Pelayanan ramah Suka sekali&langanan beli HP di sini,layan ramah suka sekali langanan beli hp di sini,positive
N/A,0,"Sudah langganan sama mas achmad, pelayanan bagus dan ramah. Saran beli hp ke mas achmad",sudah langanan sama mas achmad layan bagus dan ramah saran beli hp ke mas achmad,positive
N/A,0,"buruk , tidak profesional staffnya",buruk tidak profesional staf,negative
N/A,0,"pelayanan kurang memuaskan, update info aksesoris terlalu terbelit belit, tidak transparant saat sebelum pembelian, padahal saya belinya juga cash ga cicil, minimal kalau memang barang/aksesoris kosong, ngomong di awal, jangan setengah2 hanya ingin capai target, udah 3 bulan saya tunggu gaada kejelasan, disini saya beli huawei matepad se",layan kurang muas update info aksesoris terlalu belit belit tidak transparant saat belum beli padahal saya beli juga cash enggak cicil minimal kalau memang barang aksesoris kosong omong di awal jangan tengah hanya ingin capai target sudah bulan saya tungu enggak ada jelas sini saya beli huawei matepad se,negative
N/A,0,pelayanannya baik,pelayananya baik,positive
N/A,0,pelayanan sangat bagus dan baikk,layan sangat bagus dan baik,negative
N/A,0,Sangat bagus pelayanan dan service nya semoga di pertahankan kayak gini ya,sangat bagus layan dan service nya moga di tahan kayak begini ya,positive
N/A,0,"pelayanannya bagus,ramah,baik",pelayananya bagus ramah baik,positive
N/A,0,pelayana ramah proses cepat,pelayana ramah proses cepat,positive
N/A,0,Pelayanannya ramah dan harganya murah,pelayananya ramah dan harga murah,positive
N/A,0,"Bagus, terkaya, karyawan nya ramah",bagus kaya karyawan nya ramah,positive
N/A,0,Mantab sekali pelayanan nya,mantab sekali layan nya,positive
N/A,0,pelayanann nyaa toppp bangettt dapet kopi sama free air putihh sepuasnya kata mbak nya,layan nya top banget dapat kopi sama free air putih puas kata mbak nya,positive
N/A,0,beli kartu pelayanan oke di bantu sampai bisa,beli kartu layan oke di bantu sampai bisa,positive
N/A,0,Tempatnya nyaman. Pelayanannya sangat baik. Orang ramah terima kasih kak Dhika,tempat nyaman pelayananya sangat baik orang ramah terima kasih kak dhika,positive
N/A,0,"Pelayanan memuaskan, sabar, dan rinci menjelaskan. Terima kasih Mas Yusril",layan muas sabar dan rinci jelas terima kasih mas yusril,positive
N/A,0,Pelayanan ramahh dapet Snack dan voucerrr yeyyy kakak' nya cantik',layan ramah dapat snack dan voucer yey kakak nya cantik,positive
N/A,0,"Pelayanan ramah, gercep , mantap pols",layan ramah gercep mantap pols,positive
N/A,0,Memberikan pelayanan solutif dan ramah,beri layan solutif dan ramah,positive
N/A,0,Pelayanannya ramah,pelayananya ramah,positive
N/A,0,"Pelayanan sangat baik, tidak lambat, cepat",layan sangat baik tidak lambat cepat,positive
N/A,0,Pelayanan ramah dan membantu menjelaskan terkait produk.,layan ramah dan bantu jelas kait produk,positive
N/A,0,Pelayanan OK,layan ok,positive
N/A,0,pelayanan ramah,layan ramah,positive
N/A,0,"Pelayanan sangat ramah, cepat dan baik",layan sangat ramah cepat dan baik,positive
N/A,0,"Ramah pelayanannya, edukatif, dan nyaman tempatnya",ramah pelayananya edukatif dan nyaman tempat,positive
N/A,0,Tempat nyaman,tempat nyaman,positive
N/A,0,"Pelayanan bagus banget, koleksi lengkap, banyak pilihan.",layan bagus banget koleksi lengkap banyak pilih,positive
N/A,0,"Parkir luas, tempat nyaman,semua brand ada,pegawai nya ramah semua",parkir luas tempat nyaman semua brand ada pegawai nya ramah semua,positive
N/A,0,"Belanja nyaman, tempat nyaman, parkiran gratis. Sudah langganan sama mas achmad",belanja nyaman tempat nyaman parkir gratis sudah langanan sama mas achmad,positive
N/A,0,"Pelayanan baik, masnya ramah, komunikatif . Dijelaskan detail produknya",layan baik mas ramah komunikatif jelas detail produk,positive
N/A,0,Dibantu sama mbak Ria yang ramah dan product knowledge yg bagus. Makasih mbak,bantu sama mbak ria yang ramah dan product knowledge yang bagus terima kasih mbak,positive
N/A,0,Senang dengan pelayanannya ramah ramah dan bagus.,senang dengan pelayananya ramah ramah dan bagus,positive
N/A,0,Pelayanannya oke... Tempat luas Enaknya lgi free parkir,pelayananya oke tempat luas enak lagi free parkir,positive
N/A,0,pelayanan ramah dan cepat,layan ramah dan cepat,positive
N/A,0,Pelayanan bagus,layan bagus,positive
N/A,0,"Keren banget, pelayanan sangat cepat, dan Mbaknya Ramah buanget. Dikasih garansi juga. TOP pokoknya✨️",keren banget layan sangat cepat dan mbak ramah banget kasih garansi juga top pokok,positive
N/A,0,"Terima kasih mas rossi , pelayanannya sangat ramah dan bisa milihkan hp sesuai kebutuhan dan budget saya, semoga sehat selalu mas rossi",terima kasih mas ros pelayananya sangat ramah dan bisa milihkan hp sesuai butuh dan budget saya moga sehat selalu mas ros,positive
N/A,0,puas dengan pelayanannya,puas dengan pelayananya,positive
N/A,0,Pelayanan baik dan cepat,layan baik dan cepat,positive
N/A,0,"Sangat membantu, banyak pilihan, harga terjangkau",sangat bantu banyak pilih harga jangkau,positive
N/A,0,karyawannya ramah sekali,karyawanya ramah sekali,positive
N/A,0,"tempat nyaman , pelayanan ramah sales mbak avia top",tempat nyaman layan ramah sales mbak avia top,positive
N/A,0,Terbaik,baik,positive
N/A,0,"Pertama beli di tiga putra pelayanan ramah , mas nya baik d arahkan mana hp yg terbaik atau tidak tidak mengecewakan",pertama beli di tiga putra layan ramah mas nya baik di arah mana hp yang baik atau tidak tidak kecewa,positive
N/A,0,"Excellent service, great items….so satisfied belanja disini, makasih mas Galang for the guidance",excelent service great items sok satisfied belanja sini terima kasih mas galang for the guidance,positive
N/A,0,Tempatnya luas nyaman Free parkir Pelayan ramah,tempat luas nyaman free parkir layan ramah,positive
N/A,0,"Pelayanan ramah, sales nya cantik (avia)",layan ramah sales nya cantik avia,positive
N/A,0,Terima kasih bisa milihkan hp mas rossi,terima kasih bisa milihkan hp mas ros,positive
N/A,0,"Pelayanan bagus, dijelasin sampai detail dibantu sampe ngerti , trims Mas Galang dan Mbak Elisa, pokoknya memuaskan belanja di disini, dapet Snack n drink lagi, jempol 5 deh",layan bagus dijelasin sampai detail bantu sampai erti terima kasih mas galang dan mbak elisa pokok muas belanja di sini dapat snack drink lagi jempol deh,positive
N/A,0,Baik ramah pelayanan nyaman bangeeett,baik ramah layan nyaman banget,positive
N/A,0,Pelayanan Memuaskan Harga Kompetitif,layan muas harga kompetitif,positive
N/A,0,"Pelayanannya baguss, ramah, sudah beberapa kali beli hp disini. Dan semuaa staff nya ramah.. Sukaa poll",pelayananya bagus ramah sudah beberapa kali beli hp sini dan semuaa staf nya ramah suka pol,positive
N/A,0,"Baik, cepat dilayani",baik cepat layan,positive
N/A,0,Pelayanannya ok Cepat ramah,pelayananya ok cepat ramah,positive
N/A,0,"Tempat nyaman , Pelayanan ok dikasih snack dan minum",tempat nyaman layan ok kasih snack dan minum,positive
N/A,0,Rekomen untuk beli gadget dll...pelayanan ramah dan harga terbaik,rekomen untuk beli gadget dulu layan ramah dan harga baik,positive
N/A,0,Seneng stok hp lengkap dan pelayanan mbaknya baik dan ramah,senang stok hp lengkap dan layan mbak baik dan ramah,positive
N/A,0,"Pelayanan baik, dari awal hingga akhir Produk lengkap",layan baik dari awal hinga akhir produk lengkap,positive
N/A,0,Terima kasih tiga putra..harganya murah dari counter² lain..terbaik memang tiga putra,terima kasih tiga putra harga murah dari counter lain baik memang tiga putra,positive
N/A,0,"Pelayanannya enak, sebelum beli dijelasin juga enak juga, pembayaran cepet nggak ribet, dibantu sama Mas Rosi juga dari depan pintu smpe langsung diarahin ke barang yg saya mau, di test detail juga Mantap",pelayananya enak belum beli dijelasin juga enak juga bayar cepat enggak ribet bantu sama mas ros juga dari depan pintu sampai langsung diarahin ke barang yang saya mau di test detail juga mantap,positive
N/A,0,"baik, pelayanan ramah. barang Ok.",baik layan ramah barang ok,positive
N/A,0,"Tempatnya bagus,bersih dan pelayanannya bagus ,, yang lebih oke itu promonya banyak",tempat bagus bersih dan pelayananya bagus yang lebih oke itu promonya banyak,positive
N/A,0,"pelayanannya bagus, pegawainya juga ramah²",pelayananya bagus pegawai juga ramah,positive
N/A,0,mantap pelayanan,mantap layan,positive
N/A,0,"pelayanan ramah dapet snack gratis dan pegawainya welcome""",layan ramah dapat snack gratis dan pegawai welcome,positive
N/A,0,Pelayanan ramah dan sangat membantu.. Udah dua kali beli di sini cocok dan puas.. Terimakasih..,layan ramah dan sangat bantu sudah dua kali beli di sini cocok dan puas terimakasih,positive
N/A,0,Thanks ka Dika sdh bantu pilih hp dan cek semuanya...dpt tws. Smg next ada lebih byk bonus yaa,thanks kak dika sudah bantu pilih hp dan cek semua dapat tws moga next ada lebih banyak bonus ya,positive
N/A,0,Pelayanan ramah dan memuaska,layan ramah dan memuaska,positive
N/A,0,Store Handphone yang terpercaya di malang,store handphone yang percaya di malang,positive
N/A,0,"Sangat enak tempat dan suasana belanja , sales tidak mengarahkan ke 1 brand tapi objektif jadi menyerahkan keputusan kepada costumer, dan kebetulan saya dilayani dengan mas tama sangat ramah terimakasih.",sangat enak tempat dan suasana belanja sales tidak arah ke brand tapi objektif jadi serah putus kepada costumer dan betul saya layan dengan mas tama sangat ramah terimakasih,positive
N/A,0,Store nya nyaman dan utk mas salesnya ramah dan banyak membantu semua kesulitan kami..perfect,store nya nyaman dan untuk mas salesnya ramah dan banyak bantu semua sulit kami perfect,positive
N/A,0,Pelayan sangat ramah dan membantu sekali.,layan sangat ramah dan bantu sekali,positive
N/A,0,Terimakasih atas pelayanan mas rosi selaku staf tiga putra kawi. Sudah dibantu dalam pengecekan pembelian hp baru untuk anak saya.,terimakasih atas layan mas ros selaku staf tiga putra kawi sudah bantu dalam kece beli hp baru untuk anak saya,positive
N/A,0,Pelayanannya baik di bantu dengan kak RIA tiga putra,pelayananya baik di bantu dengan kak ria tiga putra,positive
N/A,0,Stok lengkap harga murah,stok lengkap harga murah,positive
N/A,0,"terimakasih mbk citra, mbak nya baik",terimakasih mbak citra mbak nya baik,positive
N/A,0,"Aksesoris lumayan lengkap, tempat luas dan free parkir",aksesoris lumayan lengkap tempat luas dan free parkir,positive
N/A,0,"Pembelian unit dengan mas rossi... Pelayanan yang diberikan sangat baik, penyampaian sangat komunikatif dan juga informatif.... Dengan begitu beliau bisa merekomendasikan unit yang sesuai kebutuhan dengan baik.",beli unit dengan mas ros layan yang beri sangat baik sampai sangat komunikatif dan juga informatif dengan begitu beliau bisa rekomendasi unit yang sesuai butuh dengan baik,positive
N/A,0,pelayanan ramah cepat dan sigapp,layan ramah cepat dan sigap,positive
N/A,0,Pelayanan ok....harga lumayan bs dapet disc dari Shopee... Tks,layan ok harga lumayan bisa dapat disc dari shopee tks,positive
N/A,0,Pelayan yg baik...tempat luas Free parkir,layan yang baik tempat luas free parkir,positive
N/A,0,Terimakasih mas tama Vivo sudah di bantu untuk Infinix nya,terimakasih mas tama vivo sudah di bantu untuk infinix nya,positive
N/A,0,"Bagus, terpercaya, original, pelayanan dari karyawannya ramah",bagus percaya original layan dari karyawanya ramah,positive
N/A,0,Pelayan karyawan sangat baik karna sdh di bantu Trima kasih banyak,layan karyawan sangat baik karena sudah di bantu terima kasih banyak,positive
N/A,0,"Stock lengkap, pelayanan bagus",stock lengkap layan bagus,positive
N/A,0,"Pelayanan baguss , pegawainya ramahhh bgtt , untuk tempatnyaa nyamann",layan bagus pegawai ramah banget untuk tempatnyaa nyaman,positive
N/A,0,"pelayanan terbaik, semua ramah",layan baik semua ramah,positive
N/A,0,Tempatnya nyaman pelayanannya baik,tempat nyaman pelayananya baik,positive
N/A,0,Pelayanannya ramah dan cepat. Harga kompetitif. Barang selalu diperiksa kondisinya. Tempatnya juga nyaman.,pelayananya ramah dan cepat harga kompetitif barang selalu periksa kondisi tempat juga nyaman,positive
N/A,0,pelayanan mantap,layan mantap,negative
N/A,0,Pelayanan ramah dan cepat ...,layan ramah dan cepat,positive
N/A,0,"Pelayanan bagus serta tempatnya nyaman , karyawan juga ramah",layan bagus serta tempat nyaman karyawan juga ramah,positive
N/A,0,terimakasih mas tama vivo sudah dengan ramah melayani saya membeli hp ☺️,terimakasih mas tama vivo sudah dengan ramah layan saya beli hp,positive
N/A,0,Pelayanan bagus ramah,layan bagus ramah,positive
N/A,0,Terimakasih sangat membantu pelayanan bagus,terimakasih sangat bantu layan bagus,positive
N/A,0,Pelayan kak Avia sangat bagussss. Terima kasihhh ya kak sukses trus,layan kak avia sangat bagus terima kasih ya kak sukses terus,positive
N/A,0,Pelayanan ramah dan sangat membantu sekali,layan ramah dan sangat bantu sekali,positive
N/A,0,"Tempatnya nyaman dan lengkap dr hp sampe asesorisnya, dilayani mas hengki yg ramah dan sat set.",tempat nyaman dan lengkap dari hp sampai asesorisnya layan mas hengki yang ramah dan sat set,positive
N/A,0,"Beli hp di toko tiga putra ini pelayanannya baik, trs harga juga sesuai dan ada potongannya dan masih dapat gift juga. Menurutku ini sangat untung sih saya sebagai customer",beli hp di toko tiga putra ini pelayananya baik terus harga juga sesuai dan ada potonganya dan masih dapat gift juga turut ini sangat untung sih saya bagai customer,positive
N/A,0,"Original resmi, garansi terpercaya ga ribet, top!",original resmi garansi percaya enggak ribet top,positive
N/A,0,"Satisfied with the service they offer, the staff members are helpful in explaining the products and even helped us find the right product that suits our needs. Mas Adit gave us an outstanding service and we are happy with our experience here. Thank you!",satisfied with the service they ofer the staf members are helpful ini explaining the products and even helped us find the right product that suits our needs mas adit gave us an outstanding service and we are hapy with our experience here thank you,positive
N/A,0,Pelayanan josss dan dapet snack gratisss pegawainya ramah-ramah,layan jos dan dapat snack gratis pegawai ramah ramah,positive
N/A,0,Alhamdulillah beli hp dilayani mas Sulthan dgn ramah ..semoga sll sukses .Aamiin,alhamdulilah beli hp layan mas sulthan dengan ramah moga sl sukses amin,positive
N/A,0,Petugasnya ramah dan penjelasannya sangat baik dan mudah dimengerti,tugas ramah dan jasa sangat baik dan mudah erti,positive
N/A,0,Layanan super cepat dan kak dhika juga ramah,layan super cepat dan kak dhika juga ramah,positive
N/A,0,"Pelayanan nyaman, tempat bagus",layan nyaman tempat bagus,positive
N/A,0,Tempat nyaman pelayanan ramah banget,tempat nyaman layan ramah banget,positive
N/A,0,Pelayanan yang bagus,layan yang bagus,positive
N/A,0,Harga murah dan terjangkau..mbak mbaknya juga ramah tamah..,harga murah dan jangkau mbak mbak juga ramah tamah,positive
N/A,0,Pelayanan baik. Mantapp/ poll,layan baik mantap pol,positive
N/A,0,Pelayanan nyaa bagus tempat bersih dan nyaman pegawai nyaa ramah,layan nya bagus tempat bersih dan nyaman pegawai nya ramah,positive
N/A,0,pelayann ramah dan baik,layan ramah dan baik,positive
N/A,0,Pelayanan baik dan ramahh,layan baik dan ramah,positive
N/A,0,Good service Pegawainya sangat komunikatif Overall good,good service pegawai sangat komunikatif overal good,positive
N/A,0,pelayanan bagusss dan ramahh,layan bagus dan ramah,positive
N/A,0,"Pelayanan sangat ramah, penjelasan mudah dipahami",layan sangat ramah jelas mudah paham,positive
